,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
67,67,2020-08-03,81800.0,-1000.0,3483106,537826,1240186,-702360,597287,875447,-278160,980520,2347993,1367473,67.41089705567387,-2.905513434632482,39.26016032816687,3.79018873528252,28.150736727507002,-20.16476099205709,-7.9859757354499115
68,68,2020-07-31,82800.0,-2500.0,4848989,650197,1509627,-859430,598728,1642705,-1043977,1903407,3600064,1696657,74.24360005766151,6.832703001987639,34.98991233017852,-4.270247997988348,39.25368772748298,-17.72390079664029,-21.529786930842697
69,69,2020-07-30,85300.0,2100.0,6870841,1936798,1764002,172796,1817428,887117,930311,-1103107,3116615,4219722,45.360022157404025,-28.88357790025748,61.41492722652146,26.425014896342944,-16.05490506911745,2.5149177516988095,13.539987317418639
70,70,2020-07-29,83200.0,100.0,3719681,742399,978465,-236066,1467080,1476836,-9756,245822,1510202,1264380,40.60030954267315,-4.75971261473088,33.9916245505999,-27.42330267592156,6.608684992073245,-6.346404436294403,-0.26228055577884235
71,71,2020-07-28,83100.0,300.0,4538720,710359,1357177,-646818,1424135,1536550,-112415,759233,2404226,1644993,52.97145450699757,12.37114496432443,36.243544435435545,2.251919884835644,16.727910071562025,-14.25111044523566,-2.476799626326365
72,72,2020-07-27,82800.0,-900.0,2784652,545108,835150,-290042,584575,1040004,-455429,745471,1654969,909498,59.43180691878196,6.4603524117843785,32.66110092033044,-3.582443515105105,26.77070599845151,-10.415735969880616,-16.354970028570897
73,73,2020-07-24,83700.0,1300.0,3667416,654004,972829,-318825,1985133,946681,1038452,-719627,1028279,1747906,28.038242730031172,-31.393564188750783,47.660423578890416,14.999322658559985,-19.62218084885925,-8.693450647540393,28.315631496399646
74,74,2020-07-23,82400.0,-800.0,3591647,569737,1169806,-600069,556095,1250641,-694546,1294615,2465815,1171200,68.65415782787116,40.615915097839995,32.60899526039168,-15.051428318498745,36.04516256747949,-16.707349023999296,-19.33781354348019
75,75,2020-07-22,83200.0,-900.0,2876295,542271,802448,-260177,596157,1393915,-797758,1057935,1737867,679932,60.420332406794145,-8.233825421077007,23.63916079539825,-8.969834464993431,36.78117161139591,-9.04556034759995,-27.73561126379596
76,76,2020-07-21,84100.0,1900.0,4181015,1143566,957608,185958,1637414,727168,910246,-1096204,1400035,2496239,33.48552923153827,-26.93480317525588,59.70413882753351,36.06497803213526,-26.218609595995233,4.447675982984993,21.77093361301024
77,77,2020-07-20,82200.0,-700.0,2008624,420879,775468,-354589,314646,729199,-414553,769142,1273099,503957,63.381648332390725,29.896119100852452,25.08966337154191,-34.614475455991595,38.29198496084882,-17.653328846015977,-20.63865611483284
78,78,2020-07-17,82900.0,200.0,1579078,445659,605894,-160235,276884,303744,-26860,187095,856535,669440,54.24272898488866,-9.138919347502068,42.394359240012214,17.304695868470294,11.848369744876441,-10.147377140331256,-1.700992604545184
79,79,2020-07-16,82700.0,-300.0,2312310,520298,931640,-411342,669244,746431,-77187,488529,1122768,634239,48.556119205469855,-5.686609779418802,27.428804961272498,-14.96555427873971,21.12731424419736,-17.789223763249737,-3.3380904809476237
80,80,2020-07-15,83000.0,100.0,3024429,965771,907237,58534,617304,1076361,-459057,400523,1441354,1040831,47.65706187845706,-0.8990573270127982,34.41413238664224,6.985327425369738,13.242929491814818,1.935373586220738,-15.178303078035556
81,81,2020-07-14,82900.0,-100.0,2048671,514805,779709,-264904,303704,553506,-249802,514706,1230162,715456,60.04683035977958,12.38976848132252,34.922932964834274,0.5088005781920373,25.12389739494531,-12.930529108871069,-12.193368286074241
82,82,2020-07-13,83000.0,200.0,2080934,569478,618181,-48703,286822,723439,-436617,485320,1224634,739314,58.85020860824996,-1.1966217515296194,35.527988874226665,0.6050559093923908,23.322219734023278,-2.3404394372911397,-20.98178029673214
83,83,2020-07-10,82800.0,-200.0,2201557,560982,1045574,-484592,349428,418977,-69549,554141,1291147,737006,58.64699392293726,-0.2032146853126946,33.476580438298896,-2.051408435927769,25.17041348463837,-22.01133107160069,-3.159082413037682
84,84,2020-07-09,83000.0,-700.0,4002365,724211,1715989,-991778,612957,1324527,-711570,1703348,2665197,961849,66.59055333534049,7.943559412403225,24.03201607049832,-9.444564367800577,42.558537264842165,-24.779798943874436,-17.77873832096773
85,85,2020-07-08,83700.0,-1100.0,3523620,527611,1591194,-1063583,748513,1250932,-502419,1566002,2247496,681494,63.78372242182755,-2.80683091351294,19.340734812493967,-4.691281258004349,44.442987609333585,-30.184384241206487,-14.258603368127096
86,86,2020-07-07,84800.0,-1200.0,3196352,717014,1576293,-859279,866427,585215,281212,578067,1612911,1034844,50.460994283483174,-13.322728138344376,32.375783393068104,13.035048580574125,18.085210890415073,-26.883115501671906,8.797904611256833
87,87,2020-07-06,86000.0,600.0,2561766,990108,597094,393014,378404,649757,-271353,-121661,1193254,1314915,46.57935190021259,-3.881642383270581,51.32845857115756,18.952675178089454,-4.749106670944966,15.341526119091283,-10.592419448146318
88,88,2020-07-03,85400.0,1000.0,2195897,686579,698510,-11931,875778,529057,346721,-334790,633540,968330,28.8510799914568,-17.728271908755797,44.09724135512732,-7.231217216030237,-15.246161363670518,-0.5433314950564622,15.78949285872698
89,89,2020-07-02,84400.0,-900.0,3295340,808849,1345071,-536222,697716,1317129,-619413,1155635,1788775,633140,54.28195573142679,25.430875739970002,19.21319196198268,-24.88404939314464,35.068763769444125,-16.272129734716298,-18.796634034727827
90,90,2020-07-01,85300.0,200.0,2382552,1036962,1068539,-31577,530944,440669,90275,-58698,814646,873344,34.192160338997844,-20.089795392428954,36.65582115311649,17.44262919113381,-2.4636608141186427,-1.3253435811684278,3.7890043952870704
91,91,2020-06-30,85100.0,1500.0,4983607,2123130,1223401,899729,1486487,1150398,336089,-1235818,1373990,2609808,27.570191630279037,-6.6219687087188115,52.36785324364461,15.712032090528119,-24.79766161336558,18.053771093908487,6.743890519457092
92,92,2020-06-29,83600.0,-1000.0,2932433,1199849,1161959,37890,559088,1046313,-487225,449335,1173496,724161,40.01782819931436,12.447636569035325,24.694886464584194,-27.672966779060427,15.322941734730172,1.2921011324043892,-16.61504286713456
93,93,2020-06-26,84600.0,300.0,2889494,878524,1109704,-231180,803210,718628,84582,146598,1207760,1061162,41.79832178229129,1.7804935829769306,36.72483832809482,12.029951863510632,5.073483454196479,-8.000708774615902,2.927225320419423
94,94,2020-06-25,84300.0,-1700.0,3397112,1041257,2064434,-1023177,1314760,697221,617539,405638,1041095,635457,30.646472650886988,-11.151849131404298,18.70580069188181,-18.01903763621301,11.94067195900518,-30.119024630333058,18.178352671327882
95,95,2020-06-24,86000.0,1900.0,4079834,1487369,1346034,141335,1268747,785509,483238,-624573,1323718,1948291,32.44538870944259,1.798916058555598,47.75417333156202,29.04837263968021,-15.308784622119429,3.4642340840338113,11.844550538085619
96,96,2020-06-23,84100.0,-800.0,2955819,1005537,1368579,-363042,856047,762366,93681,269361,1094235,824874,37.019688959303664,4.574300249861075,27.9067831961294,-19.847390135432626,9.112905763174268,-12.282281154563252,3.1693753913889857
97,97,2020-06-22,84900.0,-500.0,2167216,831310,1004900,-173590,694382,522180,172202,1388,641524,640136,29.601294933223084,-7.41839402608058,29.5372496327085,1.630466436579109,0.06404530051457723,-8.009815357583186,7.945770057068608
98,98,2020-06-19,85400.0,-800.0,3216102,892056,1356000,-463944,1295899,1231452,64447,399497,1028147,628650,31.96873109124027,2.367436158017181,19.54695466748256,-9.990294965225946,12.421776423757704,-14.425661872664486,2.0038854489067823
