,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,15,2020-10-21,"60,900",0,15703443,8448717,8910433,-461716,4388715,2922594,1466121,-1004405,,,2866011,3870416,18.25084473513229,-13.891190140108154,24.64692615498398,10.597096487558373,-6.396081419851685,-2.94022145334625,9.336302873197935
16,16,2020-10-20,"60,900",900,19326115,9016172,7345042,1671130,7717089,2894679,4822410,-6493540,,,2592854,9086394,13.416322939193936,-4.8345217959383495,47.01614369985897,22.369217544875003,-33.59982076066504,8.647004325494287,24.952816435170753
17,17,2020-10-19,"60,000",500,14474985,9625220,8725632,899588,2889113,2558502,330611,-1230199,,,1960652,3190851,13.54510557351182,0.1287826343178846,22.04389849108652,-24.97224520877245,-8.498792917574699,6.2147767337928155,2.284016183781883
18,18,2020-10-16,"59,500",-500,16554190,8305276,8177542,127734,4098148,4665031,-566883,439149,,,4150766,3711617,25.073809108147245,11.528703534635424,22.421012444583518,0.3771139534969947,2.652796663563726,0.7716112959921325,-3.4244079595558587
19,19,2020-10-15,"60,000",-900,17756232,8351348,8589349,-238001,4574371,5387130,-812759,1050760,,,4830513,3779753,27.204606247541708,2.130797139394464,21.286909294719734,-1.1341031498637797,5.917696952821973,-1.3403800986605716,-4.577316854161401
20,20,2020-10-14,"60,900",0,16086716,6563331,6766020,-202689,6982421,5082248,1900173,-1697484,,,2540964,4238448,15.795417784462659,-11.409188463079053,26.347503119965573,5.0605938252458325,-10.552085335502909,-1.2599774870147518,11.81206282251766
21,21,2020-10-13,"60,900",500,19247631,9478852,8857169,621683,5362762,3215378,2147384,-2769067,,,4406017,7175084,22.89121710614673,7.095799321684067,37.277751220396944,10.930248100431378,-14.386534114250216,3.22991956776395,11.156614546486267
22,22,2020-10-12,"60,400",700,16145837,6819275,6060359,758916,6725428,3535849,3189579,-3948495,,,2601134,6549629,16.110245631737765,-6.78097147440896,40.56543491675286,3.2876836963559057,-24.455189285015077,4.700381900300369,19.75480738471471
23,23,2020-10-08,"59,700",-200,24589924,9921649,13257993,-3336344,8333020,3618629,4714391,-1378047,,,6335255,7713302,25.76362171757831,9.653376085840543,31.367734198771824,-9.197700717981023,-5.604112481193517,-13.567931320161868,19.172043801355386
24,24,2020-10-07,"59,900",900,14861838,8541375,6536197,2005178,3719424,2579867,1139557,-3144735,,,2601039,5745774,17.5014624705235,-8.262159247054807,38.6612611441465,7.293526945374676,-21.15979867362301,13.492126613141659,7.667672060481348
25,25,2020-10-06,"59,000",300,14463826,7646332,8077745,-431413,3572373,2800801,771572,-340159,,,3245121,3585280,22.436117525197,4.934655054673499,24.787908814721643,-13.873352329424861,-2.351791289524639,-2.9827031934703863,5.334494482995025
26,26,2020-10-05,"58,700",500,20228289,9093181,7502291,1590890,7149302,8152084,-1002782,-588108,,,3985806,4573914,19.704118326567315,-2.7319991986296834,22.61147247797379,-2.176436336747848,-2.9073541514064782,7.864679014621553,-4.957324863215074
27,27,2020-09-29,"58,200",0,15503563,6270202,5968135,302067,5433642,6983926,-1550284,1248217,,,3799719,2551502,24.508682294515143,4.804563967947825,16.457520119729896,-6.153952358243894,8.051162174785242,1.9483714808008972,-9.999533655586138
28,28,2020-09-28,"58,200",300,12614080,5725234,4658138,1067096,3250366,4709979,-1459613,392517,,,3638480,3245963,28.844592709099675,4.335910414584532,25.73285566604936,9.275335546319466,3.1117370430503057,8.459562647454273,-11.57129969050458
29,29,2020-09-25,"57,900",100,11444683,4331440,4489045,-157605,2862475,3809778,-947303,1104908,,,4250768,3145860,37.14185880028307,8.297266091183397,27.4875241192788,1.7546684532294314,9.65433468100427,-1.3771023627303614,-8.27723231827391
30,30,2020-09-24,"57,800",-800,17564020,8213923,8516139,-302216,3446415,4809350,-1362935,1665151,,,5903682,4238531,33.612362090227634,-3.529496710055433,24.131895773291077,-3.3556283459877143,9.480466316936555,-1.7206539277454707,-7.759812389191085
31,31,2020-09-23,"58,600",400,20111398,10711496,12496178,-1784682,3120467,3253766,-133299,1917981,,,6279435,4361454,31.22326453884509,-2.389097551382548,21.68647848349479,-2.445417289796296,9.536786055350305,-8.873982803184543,-0.662803252165762
32,32,2020-09-22,"58,200","-1,000",20830381,8504108,12529285,-4025177,3388954,3414729,-25775,4050952,,,8937319,4886367,42.905211383315546,11.681946844470467,23.45788586392155,1.7714073804267656,19.447325519394003,-19.32358798430043,-0.12373753509357319
33,33,2020-09-21,"59,200",-100,15140387,7691994,7067776,624218,2664453,3599587,-935134,310916,,,4783940,4473024,31.59721082426757,-11.308000559047985,29.543656975214706,6.0857711112931545,2.0535538490528675,4.122866872557485,-6.176420721610352
