,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
67,67,2020-08-03,127000.0,500.0,1868315,824405,544658,279747,83830,357753,-273923,-5824,,960080,965904,51.38748016260642,-8.306137425475619,51.69920489853157,-9.066787239501394,-0.3117247359251518,14.973224536547638,-14.661499800622487
68,68,2020-07-31,126500.0,-1000.0,1712713,465348,560860,-95512,281592,389658,-108066,203578,,965773,762195,56.38849007393533,5.001009911328914,44.50220206187493,-7.197002836656637,11.886288012060398,-5.576649444477855,-6.309638567582543
69,69,2020-07-30,127500.0,2500.0,2728427,975830,841520,134310,305705,288226,17479,-151789,,1446892,1598681,53.03026249190468,-3.35822758203065,58.59350460906596,14.091302547191026,-5.5632421171612805,4.922616584574189,0.6406255325870914
70,70,2020-07-29,125000.0,2000.0,1897616,745033,557504,187529,292027,211764,80263,-267792,,860556,1128348,45.34932251835989,-7.680939973544795,59.461345182586996,0.8678405735210291,-14.112022664227114,9.882347113430747,4.229675550796368
71,71,2020-07-28,123000.0,-500.0,1765179,513155,671731,-158576,185588,304639,-119051,277627,,1066436,788809,60.415176024641134,15.065853506281245,44.68719602941118,-14.774149153175804,15.727979995229946,-8.983564839599836,-6.744415155630109
72,72,2020-07-27,123500.0,1000.0,2046059,833751,806250,27501,177509,232220,-54711,27210,,1034799,1007589,50.57522779157395,-9.839948233067176,49.245354117354395,4.558158087943205,1.3298736742195607,1.3440961379901557,-2.6739698122097164
73,73,2020-07-24,122500.0,-2000.0,3908721,1343899,1295920,47979,497553,575954,-78401,30422,,2067269,2036847,52.88863032178558,2.3134025302116186,52.110319462555644,2.8649653452012633,0.7783108592299118,1.22748592186549,-2.005796781095402
74,74,2020-07-23,124500.0,6000.0,4505464,1638712,1323106,315606,595036,461398,133638,-449244,,2271716,2720960,50.42135504800393,-2.467275273781638,60.3924479254523,8.282128462896644,-9.97109287744836,7.004961087248727,2.966131790199633
75,75,2020-07-22,118500.0,-3000.0,2395083,747491,739784,7707,169901,380648,-210747,203040,,1477691,1274651,61.69685977479696,11.275504726793024,53.21949176709117,-7.1729561583611305,8.477368007705786,0.3217842554934422,-8.799152263199229
76,76,2020-07-21,121500.0,0.0,3138553,822074,655343,166731,417862,482862,-65000,-101731,,1898617,2000348,60.493386602042406,-1.2034731727545491,63.7347210641337,10.515229297042529,-3.2413344620912885,5.312352539530159,-2.071018077438871
77,77,2020-07-20,121500.0,4000.0,4461527,1293929,1372505,-78576,393199,438517,-45318,123894,,2774399,2650505,62.18496492344438,1.6915783214019695,59.40802330681849,-4.326697757315202,2.7769416166258774,-1.7611907313348099,-1.0157508852910675
78,78,2020-07-17,117500.0,7500.0,4265529,1169531,950447,219084,962155,239839,722316,-941400,,2133843,3075243,50.025284085514365,-12.159680837930011,72.09523133004137,12.68720802322288,-22.069947244526997,5.136150756447793,16.933796488079203
79,79,2020-07-16,110000.0,1000.0,3254530,990560,784204,206356,498674,551460,-52786,-153570,,1765296,1918866,54.241196117411725,4.2159120318973615,58.95984980934267,-13.1353815206987,-4.718653691930939,6.34057759492154,-1.6219239029906007
80,80,2020-07-15,109000.0,7500.0,4494730,1312241,626806,685435,675907,285478,390429,-1075864,,2506582,3582446,55.76713172982581,1.5259356124140881,79.70325247567706,20.74340266633439,-23.93612074585125,15.249748038258138,8.686372707593115
81,81,2020-07-14,101500.0,0.0,1050563,198171,265865,-67694,165759,187279,-21520,89214,,686633,597419,65.35857440248705,9.591442672661238,56.86655631313876,-22.836696162538303,8.492018089348283,-6.443592626049081,-2.0484254632992025
82,82,2020-07-13,101500.0,3200.0,1376002,350405,263496,86909,344310,84564,259746,-346655,,681287,1027942,49.512064662696716,-15.846509739790342,74.70497862648455,17.83842231334579,-25.192913963787845,6.316051866203683,18.876862097584162
83,83,2020-07-10,98300.0,-1300.0,1099298,180950,429293,-248343,30175,248520,-218345,466688,,888173,421485,80.794561620234,31.282496957537298,38.34128689399962,-36.36369173248493,42.453274726234376,-22.591053563274016,-19.862221162960363
84,84,2020-07-09,99600.0,0.0,922604,388069,375602,12467,131587,115887,15700,-28167,,402948,431115,43.67507619737179,-37.11948542286222,46.72806534547866,8.386778451479039,-3.0529891481068803,1.3512839744895968,1.7017051736172832
85,85,2020-07-08,99600.0,400.0,859735,271588,275810,-4222,152226,240320,-88094,92316,,435921,343605,50.704112313678046,7.0290361163062665,39.96638499072389,-6.761680354754772,10.737727322954166,-0.4910815541998407,-10.246645768754325
86,86,2020-07-07,99200.0,-2300.0,1379122,266391,424203,-157812,105792,414196,-308404,466216,,1006939,540723,73.0130474316268,22.30893511794873,39.20777132117391,-0.7586136695499803,33.80527611045288,-11.442932532437304,-22.36234357801558
87,87,2020-07-06,101500.0,2300.0,1189877,392810,271891,120919,209389,52631,156758,-277677,,587678,865355,49.38981087961193,-23.623236552014863,72.72642466406192,33.518653342888015,-23.33661378444999,10.16231089431933,13.17430289013066
88,88,2020-07-03,99200.0,200.0,569575,150757,221749,-70992,50284,70987,-20703,91695,,368534,276839,64.70333143133038,15.313520551718454,48.604485800816406,-24.121938863245525,16.09884563051398,-12.464030197954616,-3.6348154325593645
89,89,2020-07-02,99000.0,800.0,730963,311865,220826,91039,106154,122159,-16005,-75034,,312944,387978,42.812563700214646,-21.890767731115734,53.07765235723285,4.473166556416452,-10.265088657018207,12.454665968044894,-2.1895773110266865
90,90,2020-07-01,98200.0,500.0,640540,267532,197401,70131,91747,64641,27106,-97237,,281261,378498,43.90998220251663,1.0974185023019771,59.090454928653955,6.012802571421098,-15.180472726137321,10.948730758422581,4.231741967714741
91,91,2020-06-30,97700.0,0.0,988987,267166,247301,19865,147348,394970,-247622,227757,,574473,346716,58.087012266086404,14.177030063569779,35.05769034375578,-24.03276458489817,23.029321922330627,2.0086209424390815,-25.037942864769708
92,92,2020-06-29,97700.0,-2300.0,943424,132360,312298,-179938,81189,207201,-126012,305950,,729875,423925,77.36447238993284,19.27746012384643,44.93472712163353,9.877036777877755,32.4297452682993,-19.07286649481039,-13.356878773488909
93,93,2020-06-26,100000.0,600.0,670161,124147,215839,-91692,48985,127490,-78505,170197,,497029,326832,74.16561095020451,-3.198861439728333,48.76917636209807,3.8344492404645294,25.39643458810644,-13.682085349639863,-11.714349238466577
94,94,2020-06-25,99400.0,-3600.0,1084453,110787,393346,-282559,52205,305897,-253692,536251,,921461,385210,84.97011857590877,10.80450762570426,35.52113369597392,-13.248042666124151,49.44898487993486,-26.055439931467753,-23.393544948467106
95,95,2020-06-24,103000.0,4300.0,1813817,579162,361417,217745,426200,184107,242093,-459838,,808455,1268293,44.57202683622438,-40.39809173968439,69.92397799778037,34.40284430180645,-25.351951161555988,12.004794309459003,13.347156852096987
96,96,2020-06-23,98700.0,200.0,1095698,338959,373308,-34349,97195,127893,-30698,65047,,659544,594497,60.19395855427317,15.621931718048785,54.25737748905264,-15.666600508727731,5.936581065220526,-3.1348966594809884,-2.801684405739538
97,97,2020-06-22,98500.0,-1500.0,921187,133528,370191,-236663,112189,169351,-57162,293825,,675470,381645,73.32604563459971,13.132087080326526,41.42969885593261,-12.827678633120025,31.896346778667088,-25.691092036687447,-6.205254741979641
98,98,2020-06-19,100000.0,0.0,903928,204223,247912,-43689,211804,330513,-118709,162398,,487901,325503,53.9756485029781,-19.350397131621584,36.00983706666903,-5.419861789263584,17.965811436309085,-4.83323893053429,-13.132572505774796
99,99,2020-06-18,100000.0,-500.0,1155455,420282,395658,24624,196690,205951,-9261,-15363,,538483,553846,46.603545789321096,-7.372102713657021,47.9331518752353,11.923314808566268,-1.329606085914207,2.1311085243475514,-0.8015024384333445
100,100,2020-06-17,100500.0,-1000.0,1326645,199597,353220,-153623,238076,405466,-167390,321013,,888972,567959,67.00903406713928,20.405488277818197,42.81167908521119,-5.121472790024106,24.197354981928097,-11.57981223311436,-12.617542748813737
101,101,2020-06-16,101500.0,4500.0,1389765,326383,387353,-60970,214973,188094,26879,34091,,848409,814318,61.04693959050631,-5.962094476632969,58.593934945836175,15.78225586062498,2.453004644670142,-4.387072634582106,1.9340679899119635
102,102,2020-06-15,97000.0,-6500.0,2022775,336664,736351,-399687,235771,264396,-28625,428312,,1450340,1022028,71.70051043739417,10.65357084688786,50.526034778954646,-8.067900166881515,21.17447565843952,-19.759340509943023,-1.4151351484964962
103,103,2020-06-12,103500.0,-5000.0,1977558,238705,492970,-254265,280068,282851,-2783,257048,,1458785,1201737,73.76698938792188,2.066478950527696,60.76873598650457,10.242701207549914,12.998253401417303,-12.857524279945267,-0.14072912147203773
104,104,2020-06-11,108500.0,-3000.0,2376313,462098,981434,-519336,643139,623121,20018,499318,,1271076,771758,53.489418271077916,-20.277571116843944,32.477118965388826,-28.29161702111575,21.01229930568911,-21.854696750806816,0.8423974451177096
105,105,2020-06-10,111500.0,-500.0,1377837,377146,455365,-78219,223308,153272,70036,8183,,777383,769200,56.420534504444284,2.9311162333663603,55.826632613291714,23.34951364790289,0.593901891152582,-5.676941466951461,5.083039575798879
106,106,2020-06-09,112000.0,-1000.0,1504910,472751,557620,-84869,232290,225077,7213,77656,,799869,722213,53.150620302875254,-3.26991420156903,47.990444611305655,-7.836188001986045,5.160175691569595,-5.639473456884465,0.47929776531486934
107,107,2020-06-08,113000.0,2000.0,1640392,505324,551423,-46099,357523,114307,243216,-197117,,777545,974662,47.39995074348082,-5.750669559394424,59.41640778545615,11.425963174150493,-12.016457041975332,-2.8102429175465375,14.82669995952187
108,108,2020-06-05,111000.0,2500.0,2128094,930619,485326,445293,259742,308208,-48466,-396827,,937733,1334560,44.06445391979866,-3.3354968236821705,62.711515562752396,3.2951077772962387,-18.64706164295374,20.924498635868527,-2.2774369929147866
109,109,2020-06-04,108500.0,0.0,2823041,895712,817571,78141,425137,407631,17506,-95647,,1502192,1597839,53.21183787270535,9.147383952906699,56.59992185731628,-6.111593705436113,-3.388083984610921,2.7679725515853293,0.6201114330255919
110,110,2020-06-03,108500.0,6000.0,3118795,1133919,609113,524806,564919,328577,236342,-761148,,1419957,2181105,45.529026434889104,-7.682811437816246,69.93422138999196,13.33429953267568,-24.405194955102854,16.82720409645392,7.577990858648933
111,111,2020-06-02,102500.0,2500.0,2155405,676954,408969,267985,382504,121809,260695,-528680,,1095947,1624627,50.846453450743596,5.317427015854491,75.37455837765988,5.440336987667919,-24.52810492691629,12.433162213133958,12.094942713782329
112,112,2020-06-01,100000.0,2000.0,1908428,554888,357467,197421,262714,285892,-23178,-174243,,1090826,1265069,57.15835231929107,6.311898868547459,66.2885369529267,-9.086021424733175,-9.130184633635642,10.344692071170618,-1.2145074375349765
113,113,2020-05-29,98000.0,800.0,2010414,586361,425490,160871,629778,532901,96877,-257748,,794275,1052023,39.5080316790472,-17.650320640243866,52.32867459140257,-13.959862361524136,-12.820642912355366,8.001884189027733,4.818758723327633
114,114,2020-05-28,97200.0,-900.0,1602694,499344,521231,-21887,261052,255654,5398,16489,,842298,825809,52.55513529095386,13.047103611906655,51.52630508381512,-0.8023695075874429,1.02883020713873,-1.3656381068376122,0.33680789969888203
