날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-07-15,215500,5500,815163,335446,175035,160411,162755,194663,-31908,-128503
2020-07-14,210000,5500,549007,161253,143429,17824,140606,148686,-8080,-9744
2020-07-13,204500,12000,416475,194764,81503,113261,65148,31157,33991,-147252
2020-07-10,192500,-5000,280706,77700,139516,-61816,32042,65319,-33277,95093
2020-07-09,197500,-1500,299020,151118,132451,18667,42087,83721,-41634,22967
2020-07-08,199000,-2000,271449,114649,84475,30174,69859,134343,-64484,34310
2020-07-07,201000,-3500,352141,106981,93407,13574,101433,144472,-43039,29465
2020-07-06,204500,9000,336074,151800,66611,85189,41736,31177,10559,-95748
2020-07-03,195500,1000,165056,80201,60401,19800,14395,47238,-32843,13043
2020-07-02,194500,500,253093,97881,58862,39019,88406,130853,-42447,3428
2020-07-01,194000,2000,173150,75583,54982,20601,30797,33863,-3066,-17535
2020-06-30,192000,0,253317,90653,57959,32694,81282,115078,-33796,1102
2020-06-29,192000,-6500,212889,65095,90757,-25662,21117,48147,-27030,52692
2020-06-26,198500,4500,295836,90617,94752,-4135,57234,62620,-5386,9521
2020-06-25,194000,-11000,392726,82161,176895,-94734,56654,82977,-26323,121057
2020-06-24,205000,12000,734730,231189,136907,94282,112287,158637,-46350,-47932
2020-06-23,193000,9000,579311,219641,131474,88167,101926,176962,-75036,-13131
2020-06-22,184000,-1500,204828,51990,86831,-34841,45559,68598,-23039,57880
2020-06-19,185500,-2500,319737,88171,78068,10103,104453,199517,-95064,84961
2020-06-18,188000,-2000,282466,82586,91454,-8868,87837,122671,-34834,43702
2020-06-17,190000,-5000,316584,73831,121109,-47278,113264,126545,-13281,60559
2020-06-16,195000,8000,322656,140129,98743,41386,50963,67507,-16544,-24842
2020-06-15,187000,-19000,594810,115344,260292,-144948,56807,196078,-139271,284219
2020-06-12,206000,0,440380,228164,185428,42736,63719,109177,-45458,2722
2020-06-11,206000,-5000,624141,104762,338387,-233625,317915,209683,108232,125393
2020-06-10,211000,-3500,338548,96015,79303,16712,91587,201112,-109525,92813
2020-06-09,214500,-3000,244881,97044,123684,-26640,49108,59233,-10125,36765
2020-06-08,217500,-1500,285589,111222,131162,-19940,90387,75805,14582,5358
2020-06-05,219000,1500,287283,140145,128618,11527,58331,73487,-15156,3629
2020-06-04,217500,-6500,408294,155367,163677,-8310,114394,125633,-11239,19549
2020-06-03,224000,10000,515118,295176,148522,146654,102818,129716,-26898,-119756
2020-06-02,214000,8000,430198,179150,113790,65360,121460,127397,-5937,-59423
2020-06-01,206000,8000,260640,100438,59733,40705,66922,47236,19686,-60391
2020-05-29,198000,7500,389868,102178,67386,34792,219901,178999,40902,-75694
2020-05-28,190500,-2500,287260,83555,92326,-8771,141672,136844,4828,3943
2020-05-27,193000,-2000,285130,80497,87045,-6548,125833,142180,-16347,22895
2020-05-26,195000,8500,353343,132434,58319,74115,80678,102937,-22259,-51856
2020-05-25,186500,2500,166801,68592,71032,-2440,58500,32963,25537,-23097
2020-05-22,184000,-3000,255149,51571,94667,-43096,147562,93002,54560,-11464
2020-05-21,187000,2000,288325,74002,93178,-19176,119824,111270,8554,10622
2020-05-20,185000,-1500,251354,100983,73793,27190,75615,94368,-18753,-8437
2020-05-19,186500,13500,632454,294433,72741,221692,145222,131480,13742,-235434
2020-05-18,173000,500,224848,84109,66981,17128,89721,109860,-20139,3011
2020-05-15,172500,3000,211529,74735,59876,14859,97753,71364,26389,-41248
2020-05-14,169500,-1000,291779,131457,166627,-35170,108284,82380,25904,9266
2020-05-13,170500,500,231167,61319,56923,4396,92944,134632,-41688,37292
2020-05-12,170000,-2500,260081,37021,86598,-49577,127552,119468,8084,41493
2020-05-11,172500,-3500,441460,84020,107600,-23580,243370,271519,-28149,51729
2020-05-08,176000,6000,359076,173488,66114,107374,123214,86445,36769,-144143
2020-05-07,170000,-3000,260282,62166,111047,-48881,116737,117445,-708,49589
2020-05-06,173000,3500,284330,100082,57063,43019,119851,129013,-9162,-33857
2020-05-04,169500,-2500,393505,98204,136431,-38227,216483,181696,34787,3440
2020-04-29,172000,4500,330932,116627,76427,40200,126118,80539,45579,-85779
2020-04-28,167500,0,351935,83023,93557,-10534,85421,154520,-69099,79633
2020-04-27,167500,-1500,401696,98442,121763,-23321,58708,200634,-141926,165247
2020-04-24,169000,-8000,440277,66020,266024,-200004,130613,91966,38647,161357
2020-04-23,177000,500,278640,88556,96650,-8094,83052,79543,3509,4585
2020-04-22,176500,0,425251,109033,226675,-117642,176169,110011,66158,51484
2020-04-21,176500,-3000,387624,69545,147061,-77516,196063,147622,48441,29075
2020-04-20,179500,0,402353,72894,115785,-42891,240403,226475,13928,28963
2020-04-17,179500,5000,315155,114132,63872,50260,77578,105851,-28273,-21987
2020-04-16,174500,-2000,402536,97900,93074,4826,191396,250757,-59361,54535
2020-04-14,176500,2500,256468,103805,68007,35798,86714,103049,-16335,-19463
2020-04-13,174000,-7000,243078,63706,116306,-52600,38138,37746,392,52208
2020-04-10,181000,3000,368237,92695,117417,-24722,83913,106432,-22519,47241
2020-04-09,178000,8000,607783,302286,138755,163531,81824,184507,-102683,-60848
2020-04-08,170000,-2500,444216,140601,122178,18423,153890,222617,-68727,50304
2020-04-07,172500,3000,600590,131715,102253,29462,302504,360621,-58117,28655
2020-04-06,169500,4500,301214,124864,78715,46149,70633,89735,-19102,-27047
2020-04-03,165000,-2000,307022,95184,121601,-26417,134787,132945,1842,24575
2020-04-02,167000,500,396835,145276,143593,1683,163853,183854,-20001,18318
2020-04-01,166500,-3000,362016,81289,114598,-33309,179295,181178,-1883,35192
2020-03-31,169500,5000,409687,123055,97277,25778,152199,170439,-18240,-7538
2020-03-30,164500,-5500,446277,164024,98370,65654,86119,223627,-137508,71854
2020-03-27,170000,3000,576106,199369,132814,66555,226695,297581,-70886,4331
2020-03-26,167000,-2500,658075,226746,186424,40322,146388,249761,-103373,63051
2020-03-25,169500,25000,810541,259896,215065,44831,89263,253138,-163875,119044
2020-03-24,144500,11000,464543,216982,107393,109589,95271,259245,-163974,54385
2020-03-23,133500,-7000,522677,148849,162022,-13173,124590,277512,-152922,166095
2020-03-20,140500,11500,567440,205321,173247,32074,191013,271787,-80774,48700
2020-03-19,129000,-12000,577742,270239,204875,65364,130176,244237,-114061,48697
2020-03-18,141000,-11500,438595,102478,167811,-65333,150622,181498,-30876,96209
2020-03-17,152500,-9000,433323,155383,123953,31430,140859,224316,-83457,52027
2020-03-16,161500,-10000,329732,93228,133792,-40564,117125,151841,-34716,75280
2020-03-13,171500,-8500,623997,258908,172318,86590,284614,392772,-108158,21568
2020-03-12,180000,-7500,458209,194196,210767,-16571,214661,192692,21969,-5398
2020-03-11,187500,-1500,288950,106222,130045,-23823,133106,125543,7563,16260
2020-03-10,189000,-5000,392442,175785,135822,39963,128535,220875,-92340,52377
2020-03-09,194000,-9000,237798,102301,101166,1135,78102,105778,-27676,26541
2020-03-06,203000,-7500,248997,79562,99827,-20265,110164,133060,-22896,43161
2020-03-05,210500,1500,244377,74520,101113,-26593,127385,129423,-2038,28631
2020-03-04,209000,4500,249704,82028,97814,-15786,148276,125240,23036,-7250
2020-03-03,204500,-2500,302640,88355,125249,-36894,152460,157709,-5249,42143
2020-03-02,207000,-3000,558902,179759,159940,19819,302348,350974,-48626,28807
2020-02-28,210000,-9000,317745,127830,111120,16710,152109,174783,-22674,5964
2020-02-27,219000,-1000,162109,108744,94730,14014,39815,48937,-9122,-4892
2020-02-26,220000,0,234909,107814,108975,-1161,107571,104014,3557,-2396
2020-02-25,220000,1000,249318,136674,113015,23659,83398,112765,-29367,5708
2020-02-24,219000,-9500,247956,119804,109112,10692,82608,111694,-29086,18394
2020-02-21,228500,-2500,143419,67306,103230,-35924,55066,22334,32732,3192
2020-02-20,231000,-4500,183854,68572,112679,-44107,78330,55013,23317,20790
2020-02-19,235500,0,158389,69299,70122,-823,71632,70513,1119,-296
2020-02-18,235500,-3500,126287,61369,89260,-27891,33116,26297,6819,21072
2020-02-17,239000,2000,119699,68472,67937,535,29847,29873,-26,-509
2020-02-14,237000,-2000,186275,92930,92605,325,52407,72001,-19594,19269
2020-02-13,239000,-3500,252113,119795,121154,-1359,93992,110005,-16013,17372
2020-02-12,242500,5000,268281,106102,81500,24602,137202,128650,8552,-33154
2020-02-11,237500,9000,302565,159408,82820,76588,99612,142641,-43029,-33559
2020-02-10,228500,-2500,183144,76112,85996,-9884,73077,88295,-15218,25102
2020-02-07,231000,-3000,232094,60002,107062,-47060,136245,103311,32934,14126
2020-02-06,234000,7000,311850,153663,74878,78785,111614,189791,-78177,-608
2020-02-05,227000,-2500,255446,80969,167995,-87026,127537,67381,60156,26870
2020-02-04,229500,1500,376956,78245,140779,-62534,257517,218980,38537,23997
2020-02-03,228000,-1500,332333,116317,127345,-11028,183418,177615,5803,5225
2020-01-31,229500,-7500,238669,94606,100310,-5704,86350,92407,-6057,11761
2020-01-30,237000,-2500,393045,176229,178632,-2403,134641,175212,-40571,42974
2020-01-29,239500,-5500,310470,114181,200879,-86698,87425,77147,10278,76420
2020-01-28,245000,-6500,283811,138044,125110,12934,106356,116168,-9812,-3122
2020-01-23,251500,6000,472880,195160,142473,52687,204639,230232,-25593,-27094
2020-01-22,245500,4500,283895,149293,85702,63591,98113,164784,-66671,3080
2020-01-21,241000,-5000,252264,84708,119768,-35060,89431,115318,-25887,60947
2020-01-20,246000,-2000,150631,68035,98802,-30767,61173,37356,23817,6950
2020-01-17,248000,-1500,162761,65891,84218,-18327,78721,61249,17472,855
2020-01-16,249500,4500,291549,110735,83016,27719,151016,172122,-21106,-6613
2020-01-15,245000,1000,176379,65443,70536,-5093,90562,91910,-1348,6441
2020-01-14,244000,2000,192654,48046,102990,-54944,99074,73695,25379,29565
2020-01-13,242000,-2500,199412,54652,75085,-20433,93467,111233,-17766,38199
2020-01-10,244500,-500,208838,76054,90921,-14867,107000,109635,-2635,17502
2020-01-09,245000,0,283999,114704,148404,-33700,136742,122780,13962,19738
2020-01-08,245000,-7500,317886,138258,179186,-40928,135232,121526,13706,27222
2020-01-07,252500,3000,251361,81721,94586,-12865,156389,127176,29213,-16348
2020-01-06,249500,-500,130109,47972,91637,-43665,67289,21756,45533,-1868
2020-01-03,250000,2500,255475,74194,168206,-94012,137220,64259,72961,21051
2020-01-02,247500,-8500,214585,58604,131587,-72983,96562,77698,18864,54119
2019-12-30,256000,-1500,106749,46008,40037,5971,51384,61283,-9899,3928
2019-12-27,257500,-3500,106529,48118,68904,-20786,35389,28249,7140,13646
2019-12-26,261000,3500,126392,51732,39453,12279,65371,43184,22187,-34466
2019-12-24,257500,-2500,161771,77550,51745,25805,74097,92439,-18342,-7463
2019-12-23,260000,-2000,204087,62020,54254,7766,133583,142989,-9406,1640
2019-12-20,262000,1000,242192,37743,44896,-7153,197703,182514,15189,-8036
2019-12-19,261000,-6000,250200,61376,89730,-28354,133752,143671,-9919,38273
2019-12-18,267000,3500,317144,59548,96144,-36596,228642,184203,44439,-7843
2019-12-17,263500,3000,540074,81053,104447,-23394,419317,393059,26258,-2864
2019-12-16,260500,0,234196,85607,67028,18579,116587,145984,-29397,10818
2019-12-13,260500,1000,243561,89750,80099,9651,116078,138964,-22886,13235
2019-12-12,259500,3500,409684,212553,204842,7711,164361,174895,-10534,2823
2019-12-11,256000,-1000,278919,75910,84769,-8859,163334,187928,-24594,33453
2019-12-10,257000,5000,287466,75049,71510,3539,181268,178461,2807,-6346
2019-12-09,252000,5500,244462,45079,68012,-22933,167712,157472,10240,12693
2019-12-06,246500,1500,200593,50591,40254,10337,115612,155705,-40093,29756
2019-12-05,245000,-4500,298932,88776,92751,-3975,173445,199847,-26402,30377
2019-12-04,249500,1500,345433,75353,81130,-5777,236916,246497,-9581,15358
2019-12-03,248000,1500,262440,67878,69799,-1921,161074,181123,-20049,21970
2019-12-02,246500,1500,242207,68543,76887,-8344,137360,152847,-15487,23831
2019-11-29,245000,-6000,257744,58976,80375,-21399,146411,168981,-22570,43969
2019-11-28,251000,-1500,225680,65240,72852,-7612,129812,140468,-10656,18268
2019-11-27,252500,5500,308263,76441,92666,-16225,197213,185064,12149,4076
2019-11-26,247000,-10000,630562,123410,102592,20818,442379,520610,-78231,57413
2019-11-25,257000,1500,304028,89039,81253,7786,189384,212441,-23057,15271
2019-11-22,255500,2500,257086,83360,86629,-3269,152940,162506,-9566,12835
2019-11-21,253000,-3000,385166,135391,143442,-8051,224384,226850,-2466,10517
2019-11-20,256000,-1000,270526,75954,78184,-2230,171968,180993,-9025,11255
2019-11-19,257000,1500,290124,51436,96515,-45079,208753,168948,39805,5274
2019-11-18,255500,-2000,240022,73159,62459,10700,131687,159058,-27371,16671
2019-11-15,257500,11500,295646,116379,103961,12418,167120,103651,63469,-75887
2019-11-14,246000,4500,196138,105637,98717,6920,66855,84488,-17633,10713
2019-11-13,241500,-3000,128720,31313,53762,-22449,72543,72381,162,22287
2019-11-12,244500,3000,237741,67558,54311,13247,144396,167922,-23526,10279
2019-11-11,241500,-500,109303,44633,46988,-2355,41592,53065,-11473,13828
합계,,,93966250,32628282,31659755,968527,28548218,33482593,-4934375,3965848
