날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-07-21,270000,7000,1179638,350698,333653,17045,382186,335215,46971,-64016,,
2020-07-20,263000,-13000,1556415,329904,483089,-153185,303165,548784,-245619,398804,,
2020-07-17,276000,3000,926932,226565,293048,-66483,203950,109773,94177,-27694,,
2020-07-16,273000,-13500,1338814,245864,462634,-216770,216010,244711,-28701,245471,,
2020-07-15,286500,-500,1276196,382515,408566,-26051,252980,290807,-37827,63878,,
2020-07-14,287000,-10000,1360849,302105,507179,-205074,102675,344960,-242285,447359,,
2020-07-13,297000,-2000,1254800,396882,394347,2535,131271,318109,-186838,184303,,
2020-07-10,299000,11500,2120904,409920,496066,-86146,183726,436922,-253196,339342,,
2020-07-09,287500,5000,2006662,683980,612992,70988,216193,615293,-399100,328112,,
2020-07-08,282500,3000,1353345,435183,430608,4575,293246,410124,-116878,112303,,
2020-07-07,279500,-2000,1365047,409185,491920,-82735,268678,405070,-136392,219127,,
2020-07-06,281500,4000,1211636,438950,329550,109400,298413,413779,-115366,5966,,
2020-07-03,277500,500,971940,292419,239004,53415,156342,316764,-160422,107007,,
2020-07-02,277000,8000,1015829,389021,186434,202587,309859,323890,-14031,-188556,,
2020-07-01,269000,2000,655711,232264,196802,35462,152452,191330,-38878,3416,,
2020-06-30,267000,3000,862860,304536,268385,36151,238084,282402,-44318,8167,,
2020-06-29,264000,-5000,814814,346298,381703,-35405,167100,163400,3700,31705,,
2020-06-26,269000,-500,937593,282642,313489,-30847,198845,284712,-85867,116714,,
2020-06-25,269500,-9500,1196267,233163,409336,-176173,173793,497838,-324045,500218,,
2020-06-24,279000,3000,995065,264920,285505,-20585,216672,339746,-123074,143659,,
2020-06-23,276000,6000,2104075,534832,592531,-57699,524904,713873,-188969,246668,,
2020-06-22,270000,20500,1841479,458958,352047,106911,697014,583331,113683,-220594,,
2020-06-19,249500,2000,919945,244727,263630,-18903,381332,370385,10947,7956,,
2020-06-18,247500,-3500,744330,234332,184367,49965,142184,274053,-131869,81904,,
2020-06-17,251000,7500,1357900,483094,328654,154440,294855,257175,37680,-192120,,
2020-06-16,243500,12000,1155474,425424,216432,208992,388230,246273,141957,-350949,,
2020-06-15,231500,-10500,1311773,382411,397069,-14658,312673,436502,-123829,138487,,
2020-06-12,242000,1500,1318334,536632,256110,280522,157494,465559,-308065,27543,,
2020-06-11,240500,-3500,1423978,504384,618833,-114449,302870,349974,-47104,161553,,
2020-06-10,244000,6500,1431071,557114,445668,111446,372268,274428,97840,-209286,,
2020-06-09,237500,-3000,934440,291679,266992,24687,160377,308363,-147986,123299,,
2020-06-08,240500,9500,1624752,451189,321236,129953,516148,320769,195379,-325332,,
2020-06-05,231000,-1500,1061922,272108,227211,44897,267860,509876,-242016,197119,,
2020-06-04,232500,7000,1052789,310525,301466,9059,392439,240915,151524,-160583,,
