날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-07-15,544000,10000,341645,77572,74455,3117,112574,43157,69417,-72534
2020-07-14,534000,-13000,441154,61689,117746,-56057,43625,151126,-107501,163558
2020-07-13,547000,18000,368579,81819,77794,4025,72309,58718,13591,-17616
2020-07-10,529000,-10000,470969,86358,101589,-15231,44145,164254,-120109,135340
2020-07-09,539000,26000,819218,252761,237227,15534,165078,63786,101292,-116826
2020-07-08,513000,-3000,358194,79736,118736,-39000,68134,122354,-54220,93220
2020-07-07,516000,7000,630054,201656,127678,73978,118996,104029,14967,-88945
2020-07-06,509000,2000,317805,94215,48850,45365,39142,74780,-35638,-9727
2020-07-03,507000,11000,443404,110407,87277,23130,87798,34835,52963,-76093
2020-07-02,496000,4500,362498,115682,62898,52784,95568,173385,-77817,25033
2020-07-01,491500,1000,357203,129303,96592,32711,41205,46316,-5111,-27600
2020-06-30,490500,1000,443059,147789,127882,19907,54858,101988,-47130,27223
2020-06-29,489500,-11500,454763,115464,195437,-79973,75301,52734,22567,57406
2020-06-26,501000,2000,473636,97524,142673,-45149,83125,58910,24215,20934
2020-06-25,499000,-17000,551096,59444,198756,-139312,53080,81928,-28848,168160
2020-06-24,516000,12000,391402,85128,60059,25069,75442,74570,872,-25941
2020-06-23,504000,-2000,516968,109148,89170,19978,61514,132445,-70931,50953
2020-06-22,506000,-6000,509229,97084,77867,19217,43405,142244,-98839,79622
2020-06-19,512000,21000,738862,147396,120519,26877,171650,121574,50076,-76953
2020-06-18,491000,-500,509457,145248,137348,7900,127719,153436,-25717,17817
2020-06-17,491500,4000,1390544,293763,307668,-13905,325451,359851,-34400,48305
2020-06-16,487500,59500,1156149,318395,212419,105976,305418,94225,211193,-317169
2020-06-15,428000,-34000,851192,205169,250342,-45173,148389,138298,10091,35082
2020-06-12,462000,-1000,1007453,273814,226302,47512,124902,222487,-97585,50073
2020-06-11,463000,23000,1250374,389222,401427,-12205,334237,149313,184924,-172719
2020-06-10,440000,7500,535589,189730,121506,68224,172588,146903,25685,-93909
2020-06-09,432500,-1500,609988,190042,154118,35924,76853,199047,-122194,86270
2020-06-08,434000,0,684281,150807,198137,-47330,178955,152995,25960,21370
2020-06-05,434000,16500,865564,262623,146545,116078,200705,97589,103116,-219194
2020-06-04,417500,17000,966577,378724,233936,144788,156307,82440,73867,-218655
2020-06-03,400500,5500,474692,198332,145251,53081,99514,32156,67358,-120439
2020-06-02,395000,-1000,390982,143811,138712,5099,69863,79393,-9530,4431
2020-06-01,396000,5500,401656,183485,153939,29546,56742,35776,20966,-50512
2020-05-29,390500,2000,526505,186242,173673,12569,165054,158809,6245,-18814
2020-05-28,388500,-7000,842769,252506,263832,-11326,136097,234961,-98864,110190
2020-05-27,395500,-18500,622426,156679,169702,-13023,73267,153365,-80098,93121
2020-05-26,414000,24500,958956,308396,185932,122464,191733,42304,149429,-271893
2020-05-25,389500,12500,505854,206717,130407,76310,63036,25454,37582,-113892
2020-05-22,377000,-500,504011,164330,107981,56349,67345,99459,-32114,-24235
2020-05-21,377500,15000,1033430,276849,147097,129752,270162,74433,195729,-325481
2020-05-20,362500,5500,358098,111514,70124,41390,79196,40014,39182,-80572
2020-05-19,357000,3000,395494,147838,79110,68728,52071,56079,-4008,-64720
2020-05-18,354000,7500,408948,139749,77377,62372,69636,46281,23355,-85727
2020-05-15,346500,2000,364374,120543,75233,45310,115529,152667,-37138,-8172
2020-05-14,344500,-7500,399418,124909,108872,16037,49992,90271,-40279,24242
2020-05-13,352000,14000,861294,233971,133754,100217,216490,329849,-113359,13142
2020-05-12,338000,-8500,554982,73201,92972,-19771,96825,221769,-124944,144715
2020-05-11,346500,-6000,629395,99623,122516,-22893,86412,304274,-217862,240755
2020-05-08,352500,-1500,678484,120340,122152,-1812,79585,286765,-207180,208992
2020-05-07,354000,-7000,431374,55615,80713,-25098,72520,151044,-78524,103622
2020-05-06,361000,1000,344167,77503,80578,-3075,58420,122477,-64057,67132
2020-05-04,360000,-16500,669179,89923,156905,-66982,101882,288184,-186302,253284
2020-04-29,376500,14000,566265,100454,91477,8977,263219,49501,213718,-222695
2020-04-28,362500,9000,582497,169639,124682,44957,162620,110147,52473,-97430
2020-04-27,353500,0,445576,115377,63314,52063,153745,241297,-87552,35489
2020-04-24,353500,-7500,270535,63037,89927,-26890,45058,57284,-12226,39116
2020-04-23,361000,6000,343123,134942,77016,57926,62732,66549,-3817,-54109
2020-04-22,355000,1000,362008,96630,101223,-4593,44921,75113,-30192,34785
2020-04-21,354000,2500,710608,187885,153478,34407,175768,215488,-39720,5313
2020-04-20,351500,-11000,504864,114176,117593,-3417,50500,169140,-118640,122057
2020-04-17,362500,19500,753764,142578,132797,9781,146941,63519,83422,-93203
2020-04-16,343000,16500,621763,169310,108154,61156,143939,117049,26890,-88046
2020-04-14,326500,11500,436161,121558,79471,42087,119777,60792,58985,-101072
2020-04-13,315000,-9000,298575,52032,97687,-45655,50376,47055,3321,42334
2020-04-10,324000,-500,313697,70623,80459,-9836,49221,49215,6,9830
2020-04-09,324500,11500,470177,144568,125423,19145,121246,67000,54246,-73391
2020-04-08,313000,4000,616801,143184,114342,28842,135489,79956,55533,-84375
2020-04-07,309000,12500,717617,105774,135329,-29555,317570,160439,157131,-127576
2020-04-06,296500,6000,494846,145314,69759,75555,115335,208238,-92903,17348
2020-04-03,290500,-500,540101,125211,109664,15547,75592,165783,-90191,74644
2020-04-02,291000,-1000,688886,172282,201370,-29088,120099,239498,-119399,148487
2020-04-01,292000,-13000,599459,130418,169906,-39488,127529,261812,-134283,173771
2020-03-31,305000,2000,492967,107686,186275,-78589,143560,86368,57192,21397
2020-03-30,303000,-500,473701,161292,136229,25063,96162,114542,-18380,-6683
2020-03-27,303500,4000,648602,171415,177555,-6140,147456,122842,24614,-18474
2020-03-26,299500,-8000,720792,157855,161543,-3688,119144,283592,-164448,168136
2020-03-25,307500,19500,803831,148815,130914,17901,167894,145632,22262,-40163
2020-03-24,288000,20000,966345,181927,136943,44984,163714,248430,-84716,39732
2020-03-23,268000,-4500,947838,130524,136104,-5580,195292,202828,-7536,13116
