날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-08-07,"57,500",-500,18751717,8182263,11540534,-3358271,4620572,3159960,1460612,1897659,,
2020-08-06,"58,000","1,100",21625874,11635513,11487757,147756,3374350,2742886,631464,-779220,,
2020-08-05,"56,900",-400,17739706,6249162,9129786,-2880624,3176366,4648358,-1471992,4352616,,
2020-08-04,"57,300",500,19419694,9707257,10329448,-622191,3907225,5088040,-1180815,1803006,,
2020-08-03,"56,800","-1,100",21158940,7834321,9426432,-1592111,3214984,6318264,-3103280,4695391,,
2020-07-31,"57,900","-1,100",21943345,8912779,11098657,-2185878,4444432,5753021,-1308589,3494467,,
2020-07-30,"59,000",0,19285354,8608310,9636325,-1028015,5024632,3448079,1576553,-548538,,
2020-07-29,"59,000",400,36476611,12869490,14322654,-1453164,12655537,7890072,4765465,-3312301,,
2020-07-28,"58,600","3,000",48431566,16570592,16356101,214491,20943599,5080226,15863373,-16077864,,
2020-07-27,"55,600","1,400",21054421,7941945,6377707,1564238,9067372,2124314,6943058,-8507296,,
2020-07-24,"54,200",100,10994535,4729772,5789967,-1060195,3519611,2118457,1401154,-340959,,
2020-07-23,"54,100",-600,16214932,4985462,7734677,-2749215,4505195,5765090,-1259895,4009110,,
2020-07-22,"54,700",-600,12885057,5022943,5934137,-911194,3722251,4114814,-392563,1303757,,
2020-07-21,"55,300","1,100",18297260,7307011,5774394,1532617,7629555,1948244,5681311,-7213928,,
2020-07-20,"54,200",-200,10507530,4463568,5641250,-1177682,3448811,2312199,1136612,41070,,
2020-07-17,"54,400",600,10096174,4248884,3887454,361430,3937473,2406605,1530868,-1892298,,
2020-07-16,"53,800",-900,16779127,7189935,7148904,41031,5306672,6498134,-1191462,1150431,,
2020-07-15,"54,700",900,24051450,9083044,6919714,2163330,10892786,5467321,5425465,-7588795,,
2020-07-14,"53,800",400,14269484,6236669,7848374,-1611705,5301335,3005816,2295519,-683814,,
2020-07-13,"53,400",700,12240188,5554184,4451949,1102235,4047948,2965273,1082675,-2184910,,
2020-07-10,"52,700",-100,13714746,4794904,8391496,-3596592,3610216,2005688,1604528,1992064,,
2020-07-09,"52,800",-200,17054850,7672370,9955619,-2283249,4729719,3219462,1510257,772992,,
2020-07-08,"53,000",-400,19664652,8894979,10392756,-1497777,5193371,5409395,-216024,1713801,,
2020-07-07,"53,400","-1,600",30760032,11690461,15754835,-4064374,5103654,5726685,-623031,4687405,,
2020-07-06,"55,000","1,400",19856623,10962106,6599152,4362954,3072581,1723880,1348701,-5711655,,
2020-07-03,"53,600",700,11887868,6409811,5418146,991665,2769143,1150631,1618512,-2610177,,
2020-07-02,"52,900",300,14142583,6957082,7427264,-470182,4101713,4188287,-86574,556756,,
2020-07-01,"52,600",-200,16706143,8449077,8021941,427136,3690754,5326597,-1635843,1208707,,
2020-06-30,"52,800",400,21157172,10311976,9071273,1240703,7136159,5515177,1620982,-2861685,,
2020-06-29,"52,400",-900,17776925,9594661,10478909,-884248,3286709,3823944,-537235,1421483,,
2020-06-26,"53,300","1,400",21575360,11059519,9614557,1444962,5560674,3293172,2267502,-3712464,,
2020-06-25,"51,900","-1,000",18541624,8516119,12346277,-3830158,3891074,2268025,1623049,2207109,,
2020-06-24,"52,900","1,500",24519552,11584112,10309536,1274576,6094943,3275747,2819196,-4093772,,
2020-06-23,"51,400",-600,18086152,9289508,10850224,-1560716,2739803,3213868,-474065,2034781,,
2020-06-22,"52,000",-900,13801350,7409457,7405819,3638,2268957,3656158,-1387201,1383563,,
2020-06-19,"52,900",600,18157985,7603628,8121314,-517686,7652948,5665356,1987592,-1469906,,
2020-06-18,"52,300",100,15982926,7720237,8129722,-409485,4986965,4714330,272635,136850,,
2020-06-17,"52,200",100,26672595,12827521,12979182,-151661,9281541,7537292,1744249,-1592588,,
2020-06-16,"52,100","2,200",21808375,11969652,8859331,3110321,3547574,5678813,-2131239,-979082,,
2020-06-15,"49,900","-2,400",28772921,9309859,13176403,-3866544,5049064,6589494,-1540430,5406974,,
2020-06-12,"52,300","-2,000",26976019,9455821,11272827,-1817006,4828221,5623752,-795531,2612537,,
2020-06-11,"54,300","-1,100",33815123,13674291,20369695,-6695404,4704763,6312687,-1607924,8303328,,
2020-06-10,"55,400",-100,16742493,8288528,7199036,1089492,4125743,4476024,-350281,-739211,,
2020-06-09,"55,500",600,23998831,10595919,13319422,-2723503,4211227,3094201,1117026,1606477,,
2020-06-08,"54,900",-600,25634965,11523849,12668890,-1145041,4336552,5969457,-1632905,2777946,,
2020-06-05,"55,500",900,22743629,12687208,9938655,2748553,3844962,3979527,-134565,-2613988,,
2020-06-04,"54,600",100,40220334,17549603,15940604,1608999,9195981,7552302,1643679,-3252678,,
2020-06-03,"54,500","3,100",49257814,22439769,12877071,9562698,9905957,6627240,3278717,-12841415,,
2020-06-02,"51,400",200,14247933,7258948,6357564,901384,2529164,2852030,-322866,-578518,,
2020-06-01,"51,200",500,16949183,8267920,6170209,2097711,3883525,3940820,-57295,-2040416,,
2020-05-29,"50,700",300,27596961,8598574,10491385,-1892811,15415280,11648307,3766973,-1874162,,
2020-05-28,"50,400",500,31309318,13880170,11109010,2771160,8265604,5857102,2408502,-5179662,,
2020-05-27,"49,900",650,19548479,7943324,7819126,124198,5638212,2611763,3026449,-3150647,,
2020-05-26,"49,250",400,15127490,7483678,5821982,1661696,3211317,4057311,-845994,-815702,,
2020-05-25,"48,850",100,14337913,7080068,6856281,223787,1864864,4090677,-2225813,2002026,,
2020-05-22,"48,750","-1,200",19706284,6115808,8982988,-2867180,2210869,5710330,-3499461,6366641,,
2020-05-21,"49,950",-50,14949266,5774835,8129197,-2354362,4770224,2865955,1904269,450093,,
2020-05-20,"50,000",-300,14896899,5817531,5952563,-135032,5281725,5093113,188612,-53580,,
2020-05-19,"50,300","1,500",25168295,11201399,5980185,5221214,6136287,4377943,1758344,-6979558,,
2020-05-18,"48,800",950,20481981,8964510,7188363,1776147,5442883,4329456,1113427,-2889574,,
2020-05-15,"47,850",-150,18463118,8734136,6896282,1837854,5077884,7183062,-2105178,267324,,
2020-05-14,"48,000",-550,19305974,8586280,9861037,-1274757,5403451,6623672,-1220221,2494978,,
2020-05-13,"48,550",650,20223277,6934988,7434183,-499195,8164890,8679255,-514365,1013560,,
2020-05-12,"47,900",-500,23433590,7226425,10500588,-3274163,6295160,8276175,-1981015,5255178,,
2020-05-11,"48,400",-400,16357743,6405224,8093736,-1688512,3182796,4435166,-1252370,2940882,,
2020-05-08,"48,800",0,15319700,6803516,5761273,1042243,3640751,5872372,-2231621,1189378,,
2020-05-07,"48,800",-400,13884411,6667366,6566134,101232,3326243,4752107,-1425864,1324632,,
2020-05-06,"49,200",700,18070225,7246520,6246922,999598,5539413,7210229,-1670816,671218,,
2020-05-04,"48,500","-1,500",26083749,5871802,10972059,-5100257,6224658,12103092,-5878434,10978691,,
2020-04-29,"50,000",-100,15604533,7501517,7112352,389165,4137958,4031124,106834,-495999,,
2020-04-28,"50,100",250,16095399,6170738,7089274,-918536,5369893,4768907,600986,317550,,
2020-04-27,"49,850",500,14049471,7276381,5026355,2250026,3509158,3799633,-290475,-1959551,,
2020-04-24,"49,350",-500,15618347,5413509,8131335,-2717826,5143553,4512919,630634,2087192,,
2020-04-23,"49,850",0,18754442,9298199,8593761,704438,4425233,5324472,-899239,194801,,
2020-04-22,"49,850",600,18613864,7046805,9610308,-2563503,4184237,3399328,784909,1778594,,
2020-04-21,"49,250",-850,27407543,10395528,12071337,-1675809,4399145,8185791,-3786646,5462455,,
2020-04-20,"50,100","-1,300",21866354,7255381,10829161,-3573780,5093828,6328269,-1234441,4808221,,
2020-04-17,"51,400","2,400",32041675,10887353,8563576,2323777,10284642,5146545,5138097,-7461874,,
2020-04-16,"49,000",0,23349760,7541934,7219293,322641,11542043,12611825,-1069782,747141,,
2020-04-14,"49,000",700,14206216,7250899,4609532,2641367,3852119,3371982,480137,-3121504,,
2020-04-13,"48,300",-950,14431800,6155374,9083047,-2927673,1331430,1666626,-335196,3262869,,
2020-04-10,"49,250",150,17839111,6760668,9191763,-2431095,4709425,4187861,521564,1909531,,
2020-04-09,"49,100",500,22628058,11523038,12859513,-1336475,4710106,4610895,99211,1237264,,
2020-04-08,"48,600","-1,000",25010314,9936297,12847816,-2911519,6380493,4438803,1941690,969829,,
2020-04-07,"49,600",900,31524034,13818156,12711964,1106192,6507427,5452715,1054712,-2160904,,
2020-04-06,"48,700","1,700",23395726,12123249,6142424,5980825,4526138,4766036,-239898,-5740927,,
2020-04-03,"47,000",200,22784682,9724428,10312344,-587916,6744753,6725491,19262,568654,,
2020-04-02,"46,800","1,000",21621076,9842011,8496077,1345934,3932956,5440758,-1507802,161868,,
2020-04-01,"45,800","-1,950",27259532,8949390,13604432,-4655042,4842970,7286451,-2443481,7098523,,
2020-03-31,"47,750",-100,30654261,10811188,13812615,-3001427,9001485,9204136,-202651,3204078,,
2020-03-30,"47,850",-450,26797395,12525328,12544154,-18826,4598853,5633049,-1034196,1053022,,
2020-03-27,"48,300",500,39896178,17145659,16179095,966564,6132373,9245415,-3113042,2146478,,
2020-03-26,"47,800",-850,42185129,15191243,18899191,-3707948,9361738,8809095,552643,3155305,,
2020-03-25,"48,650","1,700",52735922,17523950,19219398,-1695448,7534954,10255254,-2720300,4415748,,
2020-03-24,"46,950","4,450",49801908,19575238,16320914,3254324,10078776,7167814,2910962,-6165286,,
2020-03-23,"42,500","-2,900",41701626,14029123,17278114,-3248991,5770669,13878748,-8108079,11357070,,
2020-03-20,"45,400","2,450",49730008,20147823,18478699,1669124,8548993,13678188,-5129195,3460071,,
2020-03-19,"42,950","-2,650",56925513,21441169,19828729,1612440,7933533,13717525,-5783992,4171552,,
2020-03-18,"45,600","-1,700",40152623,10842188,16506126,-5663938,8218781,9363239,-1144458,6808396,,
2020-03-17,"47,300","-1,600",51218151,15784920,13296336,2488584,9432725,20876024,-11443299,8954715,,
2020-03-16,"48,900","-1,050",33339821,9340167,12617890,-3277723,4288960,8659561,-4370601,7648324,,
2020-03-13,"49,950",-850,59462933,18257711,14220758,4036953,9511187,21372340,-11861153,7824200,,
2020-03-12,"50,800","-1,300",48149999,21240119,17749174,3490945,6858505,15967709,-9109204,5618259,,
2020-03-11,"52,100","-2,500",45707281,10272886,13115780,-2842894,15162035,25457808,-10295773,13138667,,
2020-03-10,"54,600",400,32106554,15124953,11233323,3891630,5972992,12438256,-6465264,2573634,,
2020-03-09,"54,200","-2,300",30261485,10484995,10633303,-148308,3391360,13311173,-9919813,10068121,,
2020-03-06,"56,500","-1,300",18716656,8528734,9521959,-993225,3190520,5944424,-2753904,3747129,,
2020-03-05,"57,800",400,21698990,9518866,10370659,-851793,4203739,6408213,-2204474,3056267,,
2020-03-04,"57,400","2,000",24765728,9855970,10903410,-1047440,8077274,5003529,3073745,-2026305,,
2020-03-03,"55,400",400,30330295,11633603,13331971,-1698368,7244305,9722384,-2478079,4176447,,
2020-03-02,"55,000",800,30403412,12206451,9990735,2215716,6634403,13655390,-7020987,4805271,,
2020-02-28,"54,200","-1,700",30054227,12611677,9786648,2825029,8140327,13314782,-5174455,2349426,,
