,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
31,2020-09-23,46000.0,-300.0,2303855,884368,861749,22619,327095,526041,-198946,176327,1092392,916065,47.41583129146583,-0.8900271511038511,39.762268024680374,-3.1875268224386843
32,2020-09-22,46300.0,-2150.0,2512697,834619,818769,15850,179407,552426,-373019,357169,1498671,1141502,59.64392045678408,12.228089165318252,45.42935339995232,5.667085375271945
33,2020-09-21,48450.0,650.0,3041594,1057073,882711,174362,345084,684122,-339038,164676,1639437,1474761,53.90058633729551,-5.743334119488573,48.48645151193749,3.0570981119851695
34,2020-09-18,47800.0,-700.0,2291761,788389,615811,172578,337051,634038,-296987,124409,1166321,1041912,50.89191237655235,-3.0086739607431596,45.463379471070496,-3.0230720408669924
35,2020-09-17,48500.0,1750.0,6283484,1896650,1636577,260073,710759,649711,61048,-321121,3676075,3997196,58.50376956478285,7.611857188230502,63.614326064966505,18.15094659389601
36,2020-09-16,46750.0,2100.0,4289868,1606866,983170,623696,881710,459238,422472,-1046168,1801292,2847460,41.989450491250544,-16.514319073532306,66.37640132516897,2.762075260202465
37,2020-09-15,44650.0,250.0,2173691,815238,499422,315816,467196,408324,58872,-374688,891257,1265945,41.00200994529581,-0.9874405459547333,58.239418574213175,-8.136982750955795
38,2020-09-14,44400.0,2100.0,2473674,783730,557084,226646,649761,420389,229372,-456018,1040183,1496201,42.05012463242934,1.048114687133527,60.484970937965144,2.245552363751969
39,2020-09-11,42300.0,150.0,784409,240287,283948,-43661,196426,180248,16178,27483,347696,320213,44.325855516701104,2.2757308842717663,40.82219862342222,-19.662772314542927
40,2020-09-10,42150.0,50.0,1182951,487414,560298,-72884,375755,299502,76253,-3369,319782,323151,27.03256516964777,-17.293290347053333,27.317361412264752,-13.504837211157465
41,2020-09-09,42100.0,-200.0,1352778,342415,467713,-125298,604958,548569,56389,68909,405405,336496,29.968331832717567,2.9357666630697956,24.874443552452803,-2.442917859811949
42,2020-09-08,42300.0,0.0,1018948,354743,470813,-116070,315332,205787,109545,6525,348873,342348,34.238547992635546,4.270216159917979,33.59818165401964,8.723738101566838
43,2020-09-07,42300.0,150.0,875590,295382,327549,-32167,277442,180325,97117,-64950,302766,367716,34.578512774243656,0.33996478160810994,41.996368163181394,8.398186509161754
44,2020-09-04,42150.0,-550.0,1510688,488692,693309,-204617,567342,189161,378181,-173564,454654,628218,30.09582388951259,-4.482688884731065,41.58489377025567,-0.41147439292572585
