,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
117,2020-05-25,96000.0,1500.0,1185541,319419,367083,-47664,237234,51157,186077,-138413,,628888,767301,53.046499446244376,-8.235585832708637,64.72159123977998,-4.272624736964289
118,2020-05-22,94500.0,-2700.0,1619476,358081,631174,-273093,123526,158922,-35396,308489,,1137869,829380,70.26155373713473,17.215054290890357,51.21286144407203,-13.50872979570795
119,2020-05-21,97200.0,-100.0,1471917,340399,359662,-19263,211152,329537,-118385,137648,,920366,782718,62.528389848068876,-7.733163889065857,53.17677559264551,1.9639141485734797
120,2020-05-20,97300.0,-1800.0,1828158,353400,396201,-42801,91910,461846,-369936,412737,,1382848,970111,75.64160209347332,13.113212245404448,53.06494296444837,-0.11183262819714201
121,2020-05-19,99100.0,7200.0,4564370,1692347,497151,1195196,742595,160824,581771,-1776967,,2129428,3906395,46.6532730694488,-28.988329024024523,85.58453850147994,32.51959553703157
122,2020-05-18,91900.0,-400.0,741214,158858,201606,-42748,69073,161297,-92224,134972,,513283,378311,69.24896183828152,22.595688768832716,51.03937594271021,-34.54516255876973
123,2020-05-15,92300.0,0.0,822472,238497,214547,23950,148008,232864,-84856,60906,,435967,375061,53.00691087356165,-16.242050964719866,45.60167397795913,-5.437701964751078
124,2020-05-14,92300.0,-800.0,982612,299263,344369,-45106,108697,251949,-143252,188358,,574652,386294,58.482086520417006,5.475175646855355,39.31297399176888,-6.288699986190252
125,2020-05-13,93100.0,1200.0,966892,229046,242013,-12967,219409,254285,-34876,47843,,518437,470594,53.61891503911502,-4.863171481301983,48.67079260144877,9.357818609679889
126,2020-05-12,91900.0,-1800.0,1259874,207196,369176,-161980,136146,340326,-204180,366160,,916532,550372,72.74790971160608,19.12899467249106,43.68468592891035,-4.986106672538419
127,2020-05-11,93700.0,-800.0,1889278,326111,445815,-119704,395657,436536,-40879,160583,,1167510,1006927,61.796622836872075,-10.95128687473401,53.29692083430814,9.612234905397791
128,2020-05-08,94500.0,1900.0,1749677,521835,270372,251463,300648,199965,100683,-352146,,927194,1279340,52.99229514933328,-8.804327687538795,73.11863846870023,19.821717634392087
129,2020-05-07,92600.0,-600.0,826239,207022,177569,29453,117552,249859,-132307,102854,,501665,398811,60.71669335386009,7.724398204526807,48.26823715656124,-24.850401312138985
130,2020-05-06,93200.0,1700.0,1039600,296031,239080,56951,139289,207885,-68596,11645,,604280,592635,58.1262023855329,-2.590490968327188,57.0060600230858,8.73782286652456
131,2020-05-04,91500.0,-2100.0,1264378,312619,382099,-69480,145235,456236,-311001,380481,,806524,426043,63.788202578659224,5.662000193126325,33.695856777008146,-23.310203246077656
132,2020-04-29,93600.0,400.0,1193284,277685,200550,77135,290927,296230,-5303,-71832,,624672,696504,52.34897979022597,-11.439222788433256,58.368669989709076,24.67281321270093
133,2020-04-28,93200.0,1600.0,1448692,447152,239137,208015,158931,222764,-63833,-144182,,842609,986791,58.16343294502904,5.8144531548030685,68.11599705113302,9.747327061423945
134,2020-04-27,91600.0,1500.0,1219677,385444,141882,243562,106216,192846,-86630,-156932,,728017,884949,59.68932758427026,1.5258946392412227,72.55601278043285,4.44001572929983
135,2020-04-24,90100.0,-2300.0,2135488,266045,534896,-268851,482308,855983,-373675,642526,,1387135,744609,64.95634721431355,5.267019630043293,34.86832986183954,-37.68768291859331
136,2020-04-23,92400.0,-200.0,3196313,492366,552658,-60292,446097,937937,-491840,552132,,2257850,1705718,70.63920210567613,5.682854891362581,53.365174186633155,18.496844324793614
137,2020-04-22,92600.0,-900.0,3115871,404470,479668,-75198,387808,989946,-602138,677336,,2323593,1646257,74.57282409958563,3.9336219939094974,52.83456856846769,-0.5306056181654668
138,2020-04-21,93500.0,-4100.0,3634142,362100,720340,-358240,402934,1249985,-847051,1205291,,2869108,1663817,78.94870371053196,4.375879610946328,45.78293858632932,-7.0516299821383654
139,2020-04-20,97600.0,-2900.0,2142176,245801,602444,-356643,106265,720559,-614294,970937,,1790110,819173,83.56502920394962,4.616325493417662,38.240228627339675,-7.542709958989647
140,2020-04-17,100500.0,1400.0,1487879,245925,213079,32846,109847,431838,-321991,289145,,1132107,842962,76.08864699347193,-7.476382210477695,56.6552790919154,18.415050464575728
141,2020-04-16,99100.0,-900.0,1341452,256103,225843,30260,300793,558712,-257919,227659,,784556,556897,58.48558129549175,-17.603065697980178,41.51449325059711,-15.14078584131829
142,2020-04-14,100000.0,2200.0,1582587,310345,240506,69839,471981,220386,251595,-321434,,800261,1121695,50.56663551514071,-7.918945780351038,70.87730405974521,29.3628108091481
143,2020-04-13,97800.0,-1900.0,1339638,151241,318166,-166925,361233,197431,163802,3123,,827164,824041,61.74533717317664,11.178701658035926,61.51221449376622,-9.365089565978991
144,2020-04-10,99700.0,2600.0,2806785,420868,472876,-52008,339129,404017,-64888,116896,,2046788,1929892,72.92286370348994,11.177526530313301,68.75809867873741,7.245884184971189
145,2020-04-09,97100.0,7100.0,3787201,1084414,646510,437904,573300,329913,243387,-681291,,2129487,2810778,56.228518106115835,-16.694345597374102,74.21781943973927,5.459720761001861
146,2020-04-08,90000.0,-400.0,1785939,400345,313823,86522,374454,522043,-147589,61067,,1011140,950073,56.616715352540034,0.3881972464241983,53.19739363998435,-21.020425799754925
147,2020-04-07,90400.0,1600.0,2601711,581114,274164,306950,221411,983470,-762059,455109,,1799186,1344077,69.15395291790671,12.537237565366674,51.661272139757266,-1.5361215002270825
148,2020-04-06,88800.0,2500.0,1688599,485901,154458,331443,228519,166994,61525,-392968,,974179,1367147,57.69155376735389,-11.46239915055282,80.96339036088497,29.302118221127706
149,2020-04-03,86300.0,-300.0,1170052,224638,269105,-44467,317224,316573,651,43816,,628190,584374,53.68906681070585,-4.002486956648035,49.94427598089658,-31.019114379988395
150,2020-04-02,86600.0,1200.0,1487243,266225,260329,5896,269566,327423,-57857,51961,,951452,899491,63.974212687502984,10.28514587679713,60.480432585663536,10.536156604766958
