년/월/일,종가,대비,거래량(주),기관_매수량(주),기관_매도량(주),기관_순매수(주),외국인_매수량(주),외국인_매도량(주),외국인_순매수(주)
"2020/07/29","131,000","-2,000","454,575","138,187","131,861","6,326","47,125","73,803","-26,678"
"2020/07/28","133,000","2,000","560,167","237,108","204,290","32,818","132,856","17,899","114,957"
"2020/07/27","131,000","-1,000","576,088","231,752","161,463","70,289","35,511","101,513","-66,002"
"2020/07/24","132,000",0,"473,822","177,226","104,730","72,496","33,222","61,300","-28,078"
"2020/07/23","132,000","-3,000","973,075","273,523","343,819","-70,296","47,129","198,473","-151,344"
"2020/07/22","135,000","10,000","2,025,022","982,287","520,873","461,414","295,086","93,901","201,185"
"2020/07/21","125,000","2,500","453,736","125,695","99,354","26,341","58,804","56,398","2,406"
"2020/07/20","122,500","-2,000","464,665","114,882","165,975","-51,093","34,518","56,022","-21,504"
"2020/07/17","124,500",0,"295,884","59,295","107,305","-48,010","10,521","28,238","-17,717"
"2020/07/16","124,500","1,000","452,689","125,515","157,804","-32,289","97,528","71,906","25,622"
"2020/07/15","123,500","-4,500","931,046","167,876","329,219","-161,343","103,359","89,309","14,050"
"2020/07/14","128,000","-3,000","515,322","103,411","216,087","-112,676","34,020","48,508","-14,488"
"2020/07/13","131,000",500,"405,075","131,074","107,313","23,761","57,748","38,393","19,355"
"2020/07/10","130,500","-4,000","688,311","123,704","206,409","-82,705","27,772","171,667","-143,895"
"2020/07/09","134,500",500,"599,886","198,658","129,533","69,125","58,719","88,578","-29,859"
"2020/07/08","134,000",500,"530,374","155,136","137,138","17,998","55,715","73,123","-17,408"
"2020/07/07","133,500","-2,000","838,422","207,989","257,995","-50,006","56,698","118,752","-62,054"
"2020/07/06","135,500","3,500","687,777","161,301","176,983","-15,682","85,550","54,447","31,103"
"2020/07/03","132,000",500,"600,270","220,931","193,474","27,457","33,130","41,596","-8,466"
"2020/07/02","131,500","2,500","580,144","162,574","153,187","9,387","77,674","111,704","-34,030"
"2020/07/01","129,000","-2,000","593,954","189,680","162,759","26,921","34,653","66,191","-31,538"
"2020/06/30","131,000","1,000","891,865","231,109","204,481","26,628","140,305","123,330","16,975"
"2020/06/29","130,000","-6,000","955,726","235,880","311,118","-75,238","65,723","120,198","-54,475"
"2020/06/26","136,000","2,000","794,718","246,232","197,034","49,198","86,692","49,851","36,841"
"2020/06/25","134,000","-2,500","1,293,240","334,234","297,239","36,995","121,002","206,263","-85,261"
"2020/06/24","136,500","8,500","1,754,143","560,047","272,433","287,614","214,193","82,708","131,485"
"2020/06/23","128,000","2,500","1,055,466","337,767","228,333","109,434","82,508","83,397","-889"
"2020/06/22","125,500",-500,"622,731","157,834","104,533","53,301","86,388","88,510","-2,122"
"2020/06/19","126,000",0,"875,073","309,722","164,175","145,547","133,095","175,278","-42,183"
"2020/06/18","126,000",0,"1,119,808","375,001","251,240","123,761","103,382","246,634","-143,252"
"2020/06/17","126,000","9,500","2,417,549","678,595","388,170","290,425","328,636","193,960","134,676"
"2020/06/16","116,500","10,000","1,091,035","331,086","314,332","16,754","223,402","128,473","94,929"
"2020/06/15","106,500","-8,500","1,106,675","157,624","340,742","-183,118","145,206","171,651","-26,445"
"2020/06/12","115,000","-5,500","1,153,794","261,693","394,255","-132,562","134,203","107,879","26,324"
"2020/06/11","120,500","-4,000","1,020,735","213,170","376,976","-163,806","80,875","151,010","-70,135"
"2020/06/10","124,500","-1,000","421,701","115,062","109,822","5,240","35,960","61,096","-25,136"
"2020/06/09","125,500","-1,000","544,082","139,958","189,660","-49,702","76,800","93,243","-16,443"
"2020/06/08","126,500",0,"692,126","123,371","195,359","-71,988","46,344","97,578","-51,234"
"2020/06/05","126,500","1,000","544,195","134,568","111,459","23,109","51,810","75,463","-23,653"
"2020/06/04","125,500","-2,000","830,214","156,800","156,581","219","75,805","149,835","-74,030"
"2020/06/03","127,500","3,500","731,734","194,889","114,232","80,657","144,528","32,382","112,146"
"2020/06/02","124,000",0,"540,554","108,122","127,574","-19,452","34,249","74,782","-40,533"
"2020/06/01","124,000","5,500","664,521","130,263","113,911","16,352","30,757","60,423","-29,666"
"2020/05/29","118,500",500,"737,780","192,627","143,375","49,252","214,196","211,758","2,438"
"2020/05/28","118,000","-4,500","1,069,233","171,016","200,574","-29,558","103,899","183,009","-79,110"
"2020/05/27","122,500","1,500","1,965,007","268,206","291,871","-23,665","128,164","199,096","-70,932"
"2020/05/26","121,000","15,000","2,739,083","922,752","537,998","384,754","189,189","183,330","5,859"
"2020/05/25","106,000","2,500","564,404","225,792","147,554","78,238","39,099","69,897","-30,798"
"2020/05/22","103,500","-3,000","686,662","118,394","193,000","-74,606","57,164","143,696","-86,532"
"2020/05/21","106,500","3,000","1,120,684","280,898","233,590","47,308","110,595","193,552","-82,957"
"2020/05/20","103,500",0,"614,306","114,278","120,032","-5,754","108,600","91,877","16,723"
"2020/05/19","103,500","6,700","1,724,747","556,775","153,281","403,494","263,484","111,038","152,446"
"2020/05/18","96,800","2,400","567,019","157,424","125,372","32,052","110,656","177,847","-67,191"
"2020/05/15","94,400",800,"480,497","157,155","83,743","73,412","64,297","155,190","-90,893"
"2020/05/14","93,600","-1,900","490,652","101,025","165,995","-64,970","38,780","100,686","-61,906"
"2020/05/13","95,500",100,"608,052","163,570","159,544","4,026","51,253","203,032","-151,779"
"2020/05/12","95,400","-2,100","642,196","65,900","201,902","-136,002","51,954","202,877","-150,923"
"2020/05/11","97,500","-1,100","466,477","87,139","111,573","-24,434","32,729","77,591","-44,862"
"2020/05/08","98,600",-100,"448,962","96,690","147,929","-51,239","35,211","68,000","-32,789"
"2020/05/07","98,700","-1,300","670,766","83,902","223,990","-140,088","70,717","203,615","-132,898"
"2020/05/06","100,000","3,300","1,419,621","288,878","195,737","93,141","422,039","301,676","120,363"
"2020/05/04","96,700","-1,600","831,689","154,744","221,572","-66,828","93,538","345,930","-252,392"
"2020/04/29","98,300","1,800","889,335","236,782","137,257","99,525","192,563","101,418","91,145"
"2020/04/28","96,500","-1,100","655,250","165,250","211,611","-46,361","103,733","154,153","-50,420"
"2020/04/27","97,600",0,"454,652","160,950","119,411","41,539","49,482","104,778","-55,296"
"2020/04/24","97,600","-1,800","619,467","108,966","172,642","-63,676","40,916","160,233","-119,317"
"2020/04/23","99,400","3,100","914,524","246,795","137,010","109,785","188,339","139,245","49,094"
"2020/04/22","96,300","-2,200","751,758","151,507","253,787","-102,280","104,653","163,550","-58,897"
"2020/04/21","98,500",-500,"975,923","239,442","197,875","41,567","143,277","201,868","-58,591"
"2020/04/20","99,000","1,300","898,140","126,624","177,965","-51,341","95,778","115,567","-19,789"
"2020/04/17","97,700","1,000","878,699","169,656","121,296","48,360","104,575","304,758","-200,183"
"2020/04/16","96,700",-500,"733,830","108,287","146,589","-38,302","128,138","217,600","-89,462"
"2020/04/14","97,200",900,"682,589","114,747","70,945","43,802","75,646","92,477","-16,831"
"2020/04/13","96,300","-4,200","778,610","81,112","139,470","-58,358","37,802","164,459","-126,657"
"2020/04/10","100,500","2,500","1,300,475","146,467","207,209","-60,742","186,943","132,382","54,561"
"2020/04/09","98,000","4,400","1,180,802","210,950","265,876","-54,926","308,321","212,194","96,127"
"2020/04/08","93,600",-700,"828,451","110,905","157,264","-46,359","134,760","164,699","-29,939"
"2020/04/07","94,300",-100,"1,161,168","124,691","165,805","-41,114","78,728","329,747","-251,019"
"2020/04/06","94,400","4,700","1,393,130","338,806","137,905","200,901","186,337","243,054","-56,717"
"2020/04/03","89,700",-700,"1,788,505","288,799","401,780","-112,981","88,404","256,273","-167,869"
"2020/04/02","90,400","7,900","2,074,973","438,143","297,401","140,742","224,172","350,885","-126,713"
"2020/04/01","82,500","-4,500","835,614","84,762","185,452","-100,690","154,941","341,998","-187,057"
"2020/03/31","87,000",900,"1,027,447","148,496","239,442","-90,946","145,966","208,795","-62,829"
"2020/03/30","86,100","-1,600","1,151,182","235,892","284,569","-48,677","111,937","234,409","-122,472"
"2020/03/27","87,700","2,700","1,746,990","303,971","334,370","-30,399","399,867","339,436","60,431"
"2020/03/26","85,000","-5,000","3,277,516","349,087","480,565","-131,478","192,853","623,832","-430,979"
"2020/03/25","90,000","18,000","2,877,009","228,879","453,258","-224,379","762,396","450,826","311,570"
"2020/03/24","72,000","11,700","1,571,585","212,712","189,692","23,020","206,539","361,861","-155,322"
"2020/03/23","60,300","-4,500","1,162,459","165,207","223,825","-58,618","181,953","472,986","-291,033"
"2020/03/20","64,800","7,500","1,719,407","287,910","230,658","57,252","323,042","753,101","-430,059"
"2020/03/19","57,300","-13,600","2,188,651","422,430","449,901","-27,471","427,966","1,086,782","-658,816"
"2020/03/18","70,900","-7,000","919,817","108,842","252,088","-143,246","153,177","337,186","-184,009"
"2020/03/17","77,900","-2,300","1,006,085","156,390","164,923","-8,533","397,447","539,843","-142,396"
"2020/03/16","80,200","-6,300","1,113,686","113,475","192,168","-78,693","229,353","570,200","-340,847"
"2020/03/13","86,500","-5,900","1,232,107","244,058","156,144","87,914","481,504","749,349","-267,845"
"2020/03/12","92,400","-5,600","1,006,172","303,315","275,251","28,064","265,468","412,708","-147,240"
"2020/03/11","98,000","-2,500","791,383","183,901","200,756","-16,855","148,845","301,855","-153,010"
"2020/03/10","100,500","1,400","1,154,291","353,509","267,305","86,204","259,754","582,061","-322,307"
"2020/03/09","99,100","-8,900","1,440,983","341,666","439,902","-98,236","485,488","691,656","-206,168"
"2020/03/06","108,000","-5,000","827,288","222,102","430,893","-208,791","218,994","225,776","-6,782"
"2020/03/05","113,000","-2,000","799,821","141,809","191,664","-49,855","189,167","380,353","-191,186"
"2020/03/04","115,000",500,"555,120","134,477","203,394","-68,917","147,218","241,840","-94,622"
"2020/03/03","114,500",500,"625,052","124,991","158,318","-33,327","157,519","343,713","-186,194"
"2020/03/02","114,000","1,000","609,843","148,024","162,501","-14,477","147,132","345,955","-198,823"
"2020/02/28","113,000","-3,500","771,944","153,289","180,004","-26,715","342,368","392,366","-49,998"
"2020/02/27","116,500","-3,500","675,134","124,991","107,673","17,318","223,832","412,013","-188,181"
"2020/02/26","120,000","-2,500","787,056","214,187","210,499","3,688","254,683","475,879","-221,196"
"2020/02/25","122,500","-1,000","647,578","168,011","192,601","-24,590","137,907","350,498","-212,591"
"2020/02/24","123,500","-7,000","531,391","117,661","101,195","16,466","125,551","297,764","-172,213"
"2020/02/21","130,500","-2,500","428,746","61,577","135,423","-73,846","157,546","164,799","-7,253"
"2020/02/20","133,000","-2,000","437,224","130,096","222,898","-92,802","97,248","122,022","-24,774"
"2020/02/19","135,000","-1,500","432,028","109,433","156,728","-47,295","145,281","203,450","-58,169"
"2020/02/18","136,500",0,"524,500","172,148","241,995","-69,847","125,328","121,253","4,075"
"2020/02/17","136,500","-1,000","1,037,542","274,643","364,623","-89,980","319,561","196,716","122,845"
"2020/02/14","137,500","-1,000","373,925","84,118","127,795","-43,677","90,899","138,124","-47,225"
"2020/02/13","138,500","-2,000","535,292","201,389","220,125","-18,736","73,753","167,501","-93,748"
"2020/02/12","140,500",0,"543,484","177,260","184,619","-7,359","102,281","196,704","-94,423"
"2020/02/11","140,500","4,000","831,853","404,776","238,907","165,869","95,409","224,557","-129,148"
"2020/02/10","136,500","3,000","475,102","158,747","126,933","31,814","95,773","155,798","-60,025"
"2020/02/07","133,500","-2,500","469,148","97,194","129,345","-32,151","115,960","206,274","-90,314"
"2020/02/06","136,000","2,000","715,116","234,716","176,120","58,596","183,219","294,280","-111,061"
"2020/02/05","134,000","6,000","1,477,432","546,088","390,434","155,654","427,921","572,804","-144,883"
"2020/02/04","128,000","4,500","984,815","277,661","243,981","33,680","419,193","465,271","-46,078"
"2020/02/03","123,500","-6,500","784,715","179,869","210,446","-30,577","157,871","405,723","-247,852"
"2020/01/31","130,000","5,000","1,239,192","454,464","360,572","93,892","400,265","474,362","-74,097"
"2020/01/30","125,000",0,"401,074","192,452","147,989","44,463","80,703","143,546","-62,843"
"2020/01/29","125,000",0,"481,939","206,157","197,881","8,276","121,348","188,052","-66,704"
"2020/01/28","125,000","-5,000","646,320","139,352","255,169","-115,817","193,919","155,596","38,323"
"2020/01/23","130,000","-4,500","487,400","60,817","168,501","-107,684","69,193","151,927","-82,734"
"2020/01/22","134,500",0,"171,566","44,186","64,568","-20,382","36,736","52,298","-15,562"
"2020/01/21","134,500","-1,000","301,217","120,087","71,562","48,525","36,793","146,554","-109,761"
"2020/01/20","135,500","2,000","336,029","123,328","91,923","31,405","55,505","104,614","-49,109"
"2020/01/17","133,500",500,"712,244","75,230","88,448","-13,218","495,535","543,333","-47,798"
"2020/01/16","133,000","-4,000","768,253","104,716","222,448","-117,732","277,773","415,950","-138,177"
"2020/01/15","137,000","-2,500","390,034","45,343","98,687","-53,344","81,071","219,958","-138,887"
"2020/01/14","139,500","1,500","407,292","93,188","111,569","-18,381","120,762","184,980","-64,218"
"2020/01/13","138,000",0,"316,600","63,552","133,233","-69,681","54,453","91,174","-36,721"
"2020/01/10","138,000",500,"421,153","131,836","207,154","-75,318","75,303","131,252","-55,949"
"2020/01/09","137,500",500,"642,625","199,921","258,657","-58,736","161,569","260,257","-98,688"
"2020/01/08","137,000","-7,500","703,267","197,438","295,849","-98,411","142,344","286,925","-144,581"
"2020/01/07","144,500","-3,500","324,559","68,836","120,491","-51,655","65,626","140,474","-74,848"
"2020/01/06","148,000","-1,500","317,436","122,896","123,934","-1,038","52,902","86,686","-33,784"
"2020/01/03","149,500","3,000","274,987","109,175","121,288","-12,113","83,976","69,548","14,428"
"2020/01/02","146,500","-3,500","217,016","46,770","96,731","-49,961","43,945","75,452","-31,507"
"2019/12/30","150,000","-1,000","156,222","50,639","49,604","1,035","44,476","58,856","-14,380"
