,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,-0.5,0.187,0.08199999999999999,0.7310000000000001,-0.1333,4.0,51083,69405,57594,54092,67495,52675,38.3119905546852,4.331106684718705,29.89975705560475,5.067958916095343,8.412233499080441,-10.40006357423427,1.9878300751538267
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.42857142857142855,0.0,0.1685714285714286,0.8314285714285715,0.27817142857142857,7.0,31056,34579,41262,47761,37223,27201,33.98088386996649,13.51244012241651,24.83179813950941,-15.965928242301647,9.14908573045709,-3.2161473786070967,-5.932938351849992
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,0.6666666666666666,0.0,0.09999999999999999,0.9,0.11973333333333334,12.0,69630,23902,52101,66713,31329,62445,20.46844374754998,3.4530902803659096,40.797726381811046,14.007613339799914,-20.329282634261073,29.875865673592052,-9.546583039330981
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,,,,,,,22392,23028,75978,63755,20170,31757,17.01535346718407,1.758777919242645,26.790113042011146,-30.44913506546514,-9.774759574827064,-0.536527754344525,10.311287329171588
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,0.25,0.045625000000000006,0.14975000000000002,0.8046875,0.22856250000000003,16.0,63579,38628,105346,46610,30412,114099,15.256575547941425,-4.665577444666015,57.23924810747629,21.452862619552725,-41.98267255953485,12.516993834561571,29.465678724973287
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,,,,,,,18654,17857,36482,26356,13717,24640,19.92215299260744,4.247523038047673,35.786385487923546,15.66221218518364,-15.864232495316108,1.1575385241020726,14.706693971214035
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,0.5,0.0,0.0,1.0,0.0,6.0,14274,25678,41955,27584,10452,13419,15.674629954559768,2.344322012906608,20.124173302739912,-9.423962839885695,-4.449543348180142,-17.102323000554886,21.551866348735018
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,0.6666666666666666,0.0,0.25066666666666665,0.7493333333333334,0.4425666666666667,3.0,23513,31515,43331,22821,10281,22789,13.33030794165316,-0.40514666356674667,29.54813614262561,16.058556233349428,-16.21782820097245,-10.375364667747164,26.593192868719612
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,,,,,,,60972,73667,70245,57924,20893,20519,13.735454605219907,-4.8291316808853635,13.48957990927618,-8.299433335433264,0.2458746959437249,-8.345933863651307,8.100059167707581
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,0.3333333333333333,0.0,0.06533333333333334,0.9346666666666668,0.09866666666666668,3.0,25799,31508,40851,32503,15194,17833,18.56458628610527,4.607477150451613,21.789013244709444,-12.069992664921749,-3.2244269586041736,-6.975465519769317,10.19989247837349
