,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,,,,,,,9955,7529,12922,16725,2657,1280,10.405733531761573,2.589270538909372,5.0129239445445295,0.009465332600790077,5.392809587217044,9.501057413644553,-14.893867000861595
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,,,,,,,6651,9547,9341,6933,1356,868,7.816462992852203,-1.7089979631619023,5.0034586119437385,-3.8399608435790626,2.813004380908462,-16.693566981784645,13.880562600876182
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,,,,,,,7301,7256,8352,8515,1648,1530,9.525460956014104,-5.954175182088026,8.843419455522803,4.289977239273061,0.6820415004913011,0.2601005722212589,-0.94214207271256
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,,,,,,,8315,5857,8038,12610,2995,881,15.479636138102133,12.887180062417155,4.553442216249741,-10.171954024074624,10.926193921852386,12.704155468265453,-23.63034939011785
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,,,,,,,5432,6309,10424,7572,422,2397,2.5924560756849733,-5.069760099159826,14.725396240324367,5.094475243640972,-12.13294016463939,-5.387639759184173,17.520579923823565
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,,,,,,,7420,8420,14296,12833,1802,2265,7.662216174844799,1.7222459606163651,9.630920996683393,5.140143129802878,-1.9687048218385916,-4.252062250191344,6.2207670720299335
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,,,,,,,4230,3821,12191,12853,1037,784,5.939970214228432,-14.50425168211979,4.490777866880514,1.00352868057199,1.449192347347921,2.342765494329248,-3.791957841677168
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,,,,,,,10046,7983,12197,19001,5716,975,20.444221896348225,17.708713446174354,3.4872491863085235,-9.556806897152173,16.9569727100397,7.378661611645622,-24.33563432168533
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,,,,,,,27006,24554,16906,14704,1235,5889,2.735508450173876,-34.19796035930564,13.044056083460696,3.5688353384372977,-10.308547633286821,5.4311471415597925,4.877400491727026
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,,,,,,,23221,15976,20848,47280,25808,6621,36.93346880947952,33.40845468334399,9.475220745023398,-23.84507307859549,27.458248064456114,10.368218440974855,-37.82646650543097
