,Date,Close,Volume,Change,TR,ATR_14,posneg,neg,pos,neu,compound,count,기관 매수,기관 매도,외국인 매수,외국인 매도,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
0,2019-12-02,50400,18877252,0.001988071570576455,1000.0,971.4285714285713,-0.75,0.015375000000000002,0.079,0.905625,0.1301375,8.0,115780,71677,116583,139579,43238,64345,15.688622319948035,-2.1149800001903563,23.34715766633648,-6.847204804407389,-7.6585353463884385,16.00248184875962,-8.343946502371182
1,2019-12-03,49900,12059812,-0.009920634920634884,900.0,992.8571428571428,0.0,0.02046153846153846,0.14353846153846156,0.8360000000000001,0.16418461538461537,13.0,109659,95245,92277,76250,43739,74180,17.803602320138395,2.29307363553575,30.194362470743872,-9.000135259220173,-12.390760150605473,5.867100844611784,6.523659305993693
2,2019-12-04,49450,13246549,-0.009018036072144242,900.0,992.8571428571428,0.0,0.08366666666666665,0.10926666666666665,0.8070666666666665,0.13311333333333333,15.0,67216,69153,126139,70001,35496,89697,15.510528684602644,-6.969112124387445,39.194497729964034,24.709729830266447,-23.683969045361394,-0.8464022442549957,24.53037128961639
3,2019-12-05,49500,10449715,0.0010111223458038054,950.0,982.1428571428572,0.0,0.0,0.0,1.0,0.0,1.0,134145,101323,76322,130850,61032,39326,22.479640808990087,12.037646832480748,14.484767899697607,-21.840040933478516,7.994872909292482,12.08917896566838,-20.084051874960867
4,2019-12-06,50400,11414563,0.01818181818181808,1400.0,1039.2857142857142,1.0,0.195,0.256,0.5489999999999999,0.25,1.0,103867,92287,83174,40698,21808,75864,10.441993976509343,0.7989923955688667,36.32480883317611,1.9073670154622349,-25.88281485666678,5.5446758184142615,20.33813903825252
5,2019-12-09,51200,8470627,0.015873015873015817,1000.0,1053.5714285714287,,,,,,,71940,74304,173822,104074,26228,93612,9.643001580940476,-3.651174423064884,34.41744181771389,7.4114013283554385,-24.77444023677341,-0.8691496010882753,25.64358983786169
6,2019-12-10,51500,6882771,0.005859375,900.0,1010.7142857142856,0.375,0.0,0.5342499999999999,0.46575,0.786975,8.0,69189,52588,117845,104868,28677,58255,13.294176004005358,1.6261558157745206,27.006040489358448,2.4657811114469226,-13.711864485353088,7.69594503757342,6.015919447779668
7,2019-12-11,51900,11379521,0.007766990291262044,800.0,960.7142857142856,0.0,0.05930769230769231,0.2511538461538461,0.6895384615384615,0.30301538461538463,13.0,111588,86063,65704,65393,23419,49255,11.66802018823084,7.109489467269863,24.540259377911525,7.561807185572167,-12.872239189680686,12.717290033929384,0.1549491557513041
8,2019-12-12,53300,29178697,0.026974951830443183,1400.0,1010.7142857142856,0.6,0.0,0.1748,0.8251999999999999,0.19068000000000002,5.0,354850,403685,227070,102509,27794,103520,4.5585307209609764,-12.995027279624233,16.978452192339358,-11.309673961961801,-12.419921471378384,-8.009492975395021,20.429414446773404
9,2019-12-13,54700,18120261,0.026266416510319024,1500.0,1046.4285714285713,-1.0,0.0,0.44141935483870964,0.5585806451612904,0.7598258064516126,31.0,154411,129227,107631,98697,55791,89909,17.553558000585213,1.27276388232508,28.28812615430116,-23.552299789436393,-10.734568153715943,7.9236580216654655,2.8109101320504792
10,2019-12-16,54700,11512405,0.0,600.0,1010.7142857142856,-0.6,0.0,0.0,1.0,0.0,5.0,134084,43276,147061,118453,54674,174090,16.280794118260133,-1.089307728796662,51.840425943737536,15.325181251868045,-35.559631825477425,27.040757074495488,8.518874750981928
11,2019-12-17,56700,19358433,0.03656307129798897,2000.0,1103.5714285714287,0.0,0.0,0.201,0.7989999999999999,0.38295,4.0,109812,120000,196540,115371,64400,135381,17.370101847056794,-6.7876483324535855,36.515244691869505,18.040970219694408,-19.145142844812703,-2.7479285344381155,21.893071379250824
12,2019-12-18,56300,15558208,-0.007054673721340388,1200.0,1125.0,-0.16666666666666666,0.0,0.2493333333333333,0.7506666666666666,0.41185,6.0,65370,118621,170171,134571,75026,57375,24.15775017951038,8.312747366708258,18.474274472175086,-0.08617719310483096,5.683475707335293,-17.146380652162012,11.46290494482672
13,2019-12-19,56000,14180520,-0.005328596802841923,1800.0,1167.857142857143,0.3333333333333333,0.0,0.4776666666666667,0.5223333333333332,0.7900666666666667,3.0,76983,103731,172837,138028,47037,55098,15.845002812802123,-5.4021951913386825,18.560451665279924,-17.174201778879006,-2.715448852477792,-9.010398946294007,11.7258477987718
14,2019-12-20,56000,12095519,0.0,900.0,1160.7142857142858,0.0,0.0,0.079,0.921,0.142975,4.0,144299,121541,297316,238834,119146,200386,21.247198004140802,-0.14010140126805834,35.73465344415892,-1.7709408273070937,-14.48745544001812,4.058413477399463,10.429041962618657
15,2019-12-23,55500,9839252,-0.008928571428571397,1300.0,1189.2857142857142,0.0,0.0,0.0188,0.9812000000000001,0.05719,10.0,110930,68181,85803,88215,53523,93860,21.38729940540886,-7.379243191778902,37.505594271466016,13.237604197024329,-16.11829486605716,17.082107921488394,-0.9638130554312384
