,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
39,209,209,2020-01-08,42000.0,-750.0,1122496,329146,595405,-266259,613200,460073,153127,113132,180150,67018,16.049054963224812,5.02694554083417,5.970444438109356,2.2767990736590002,10.078610525115456,-23.72026270026797,13.641652175152517
40,208,208,2020-01-09,42200.0,200.0,1254533,666235,649942,16293,450022,558253,-108231,91938,138276,46338,11.022109422390642,-17.57387373245341,3.693645364450357,-7.527514565601107,7.328464057940287,1.298730284496303,-8.627194342436589
41,207,207,2020-01-10,41350.0,-850.0,1405033,474828,561243,-86415,528422,686129,-157707,244122,401783,157661,28.59598315484405,18.869031056600228,11.221159930051464,-0.9816166842273992,17.374823224792586,-6.150389350285724,-11.224433874506863
42,206,206,2020-01-13,41750.0,400.0,988398,315302,520441,-205139,576955,347345,229610,-24471,96141,120612,9.726952098243826,-4.054867416503367,12.202776614278864,4.860337154248407,-2.4758245160350385,-20.75469598279236,23.2305204988274
43,205,205,2020-01-14,41850.0,100.0,1200364,452524,498029,-45505,582408,614199,-31791,77296,165432,88136,13.781819514747193,-2.7951564854461735,7.342439460030457,2.0773642631685085,6.439380054716736,-3.790933416863552,-2.6484466378531843
44,204,204,2020-01-15,41500.0,-350.0,1158426,593972,538150,55822,372422,559284,-186862,131040,192032,60992,16.576976000193365,0.4504721642260066,5.2650751968619485,1.0149968893051593,11.311900803331413,4.818779965228681,-16.130680768560094
45,203,203,2020-01-16,41300.0,-200.0,1360022,399895,584153,-184258,740803,718067,22736,161522,219324,57802,16.12650383596736,4.116923668839855,4.250078307556788,-1.6993601857707352,11.87642552841057,-13.548163191477785,1.6717376630672152
46,202,202,2020-01-17,41050.0,-250.0,1370331,450830,511703,-60873,754930,777101,-22171,83044,164571,81527,12.009580167127506,3.328511163510976,5.949438493327524,-7.7377253368387535,6.060141673799981,-4.442211407316917,-1.6179302664830617
47,201,201,2020-01-20,41300.0,250.0,1139491,499938,470003,29935,540633,513524,27109,-57044,98920,155964,8.681069003616527,2.2062731435733527,13.687163830166275,8.409829028635473,-5.006094826549749,2.6270501478291624,2.379044678720587
48,200,200,2020-01-21,41400.0,100.0,1333154,682048,299688,382360,564787,963111,-398324,15964,86319,70355,6.474795860043176,-12.92100545368566,5.277334801530807,2.0417868044829666,1.1974610585123702,28.680857575343882,-29.87831863385625
49,199,199,2020-01-22,41000.0,-400.0,1166603,529095,365420,163675,411236,763437,-352201,188526,226272,37746,19.395801313728835,-2.9936380728434915,3.23554799704784,-2.6777472206083255,16.160253316680993,14.030051354231045,-30.190304670912038
50,198,198,2020-01-23,41200.0,200.0,894645,326081,569184,-243103,368258,272558,95700,147403,200306,52903,22.389439386572327,1.833534252412715,5.913295217656167,-5.865408544879987,16.47614416891616,-27.17312453543025,10.696980366514092
51,197,197,2020-01-28,40150.0,-1050.0,1463667,636183,647720,-11537,526614,643546,-116932,128469,300870,172401,20.55590513415961,-6.628586088935813,11.778703762536152,7.332191410169967,8.777201371623464,-0.7882257371382971,-7.988975634485168
52,196,196,2020-01-29,39800.0,-350.0,1001549,281456,648697,-367241,447827,308318,139509,227732,272266,44534,27.18449122309543,10.994492989926366,4.4465123523661845,-1.9009217955889903,22.737978870729236,-36.66730234866192,13.929323477932682
53,195,195,2020-01-30,39900.0,100.0,1064052,318311,520705,-202394,573471,475807,97664,104730,172270,67540,16.189998233169057,-1.594417722930828,6.347434147955173,0.2055551408095848,9.84256408521388,-19.021062880385546,9.178498795171663
54,194,194,2020-01-31,39150.0,-750.0,1285828,482566,431494,51072,574585,775360,-200775,149703,228677,78974,17.784415956099892,9.945011587499927,6.141879007145588,-0.7295978214565952,11.642536948954294,3.971915372818137,-15.61445232177243
