,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,233,233,2019-12-02,246500.0,1500.0,242207,68543,76887,-8344,137360,152847,-15487,23831,36304,12473,14.988831866956776,2.2285819050607234,5.149727299376154,0.7609146183824027,9.839104567580623,-3.4449871391000264,-6.394117428480598
16,232,232,2019-12-03,248000.0,1500.0,262440,67878,69799,-1921,161074,181123,-20049,21970,33488,11518,12.760249961896053,3.1595459179859446,4.388812680993751,-0.7658772299296412,8.371437280902299,-0.731976832799878,-7.639460448102423
17,231,231,2019-12-04,249500.0,1500.0,345433,75353,81130,-5777,236916,246497,-9581,15358,33164,17806,9.600704043910108,-2.680015317014785,5.154689910923391,3.0358133771297537,4.446014132986715,-1.672393778243538,-2.7736203547431773
18,230,230,2019-12-05,245000.0,-4500.0,298932,88776,92751,-3975,173445,199847,-26402,30377,36711,6334,12.280719360924893,-4.863448182309417,2.1188765337936384,-0.1912738702583474,10.161842827131254,-1.3297338525149531,-8.8321089746163
19,229,229,2019-12-06,246500.0,1500.0,200593,50591,40254,10337,115612,155705,-40093,29756,34390,4634,17.14416754323431,4.188779793809042,2.310150404051986,-5.453019331939702,14.834017139182324,5.153220700622653,-19.98723783980498
20,228,228,2019-12-09,252000.0,5500.0,244462,45079,68012,-22933,167712,157472,10240,12693,31671,18978,12.955387749425268,2.1196715255935814,7.763169735991688,-5.280111904271856,5.192218013433581,-9.381008091237083,4.188790077803502
21,227,227,2019-12-10,257000.0,5000.0,287466,75049,71510,3539,181268,178461,2807,-6346,31149,37495,10.835716223831687,-3.3888435946102256,13.043281640263546,10.812526474785392,-2.2075654164318563,1.2311021129455308,0.9764633034863254
22,226,226,2019-12-11,256000.0,-1000.0,278919,75910,84769,-8859,163334,187928,-24594,33453,39675,6222,14.224559818441913,6.225711925919871,2.2307551654781497,-5.079025055374996,11.993804652963764,-3.1761909371537973,-8.817613715809966
23,225,225,2019-12-12,259500.0,3500.0,409684,212553,204842,7711,164361,174895,-10534,2823,32770,29947,7.998847892522043,-7.4933696628337,7.3097802208531455,-2.748480338103338,0.6890676716688959,1.8821823649446887,-2.571250036613585
24,224,224,2019-12-13,260500.0,1000.0,243561,89750,80099,9651,116078,138964,-22886,13235,37733,24498,15.492217555355742,1.827594760773428,10.058260558956485,1.0128456073774643,5.433956996399258,3.9624570436153568,-9.396414040014617
25,223,223,2019-12-16,260500.0,0.0,234196,85607,67028,18579,116587,145984,-29397,10818,32002,21184,13.664622794582314,6.313037641436634,9.04541495157902,1.1635320984885171,4.619207843003297,7.933098771968777,-12.552306614972075
26,222,222,2019-12-17,263500.0,3000.0,540074,81053,104447,-23394,419317,393059,26258,-2864,39704,42568,7.351585153145679,-1.778021587010211,7.881882853090503,-3.72073299333888,-0.5302976999448223,-4.331628628669405,4.861926328614227
27,221,221,2019-12-18,267000.0,3500.0,317144,59548,96144,-36596,228642,184203,44439,-7843,28954,36797,9.129606740155893,-12.881584307006381,11.602615846429384,4.888387229323066,-2.4730091062734907,-11.539237696440734,14.012246802714223
28,220,220,2019-12-19,261000.0,-6000.0,250200,61376,89730,-28354,133752,143671,-9919,38273,55072,16799,22.01119104716227,19.22579764027848,6.714228617106315,0.6108065387552548,15.296962430055954,-11.332533972821743,-3.964428457234213
29,219,219,2019-12-20,262000.0,1000.0,242192,37743,44896,-7153,197703,182514,15189,-8036,6746,14782,2.7853934068837947,-1.3716572626835952,6.10342207835106,2.749950274659497,-3.3180286714672658,-2.9534418973376493,6.271470568804915
30,218,218,2019-12-23,260000.0,-2000.0,204087,62020,54254,7766,133583,142989,-9406,1640,8484,6844,4.15705066956739,-2.1011785556954825,3.353471803691563,-7.5180688309092,0.8035788658758275,3.8052399221900464,-4.608818788065874
31,217,217,2019-12-24,257500.0,-2500.0,161771,77550,51745,25805,74097,92439,-18342,-7463,10124,17587,6.258229225262872,-1.0911283290127152,10.871540634600763,-23.74694787733037,-4.613311409337891,15.9515611574386,-11.33824974810071
32,216,216,2019-12-26,261000.0,3500.0,126392,51732,39453,12279,65371,43184,22187,-34466,9289,43755,7.349357554275588,-14.261659164176665,34.618488511931126,25.817129257643572,-27.26913095765555,9.715013608456232,17.554117349199313
33,215,215,2019-12-27,257500.0,-3500.0,106529,48118,68904,-20786,35389,28249,7140,13646,23022,9376,21.611016718452245,12.845595028319323,8.801359254287565,3.715597326775363,12.809657464164689,-19.512057749532996,6.702400285368303
34,214,214,2019-12-30,256000.0,-1500.0,106749,46008,40037,5971,51384,61283,-9899,3928,9357,5429,8.765421690132928,-18.924771007399517,5.085761927512202,2.6158781984537867,3.679659762620727,5.593495021030642,-9.27315478365137
35,213,213,2020-01-02,247500.0,-8500.0,214585,58604,131587,-72983,96562,77698,18864,54119,59419,5300,27.69019269753245,10.44349536902672,2.4698837290584152,-6.53686839932988,25.220308968474036,-34.011230980730254,8.790922012256216
36,212,212,2020-01-03,250000.0,2500.0,255475,74194,168206,-94012,137220,64259,72961,21051,44061,23010,17.246697328505725,5.834727364859859,9.006752128388296,-3.84093711678306,8.239945200117429,-36.798904002348564,28.55895880223114
