,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
15,233,233,2019-12-02,121500.0,500.0,862135,327772,408274,-80502,336223,333064,3159,77343,,198140,120797,22.98247954206708,13.977474800857141,14.011378728389404,-0.4727235123322942,8.971100813677673,-9.33751674621724,0.36641593253956745
16,232,232,2019-12-03,121500.0,0.0,849994,345741,350645,-4904,427711,376235,51476,-46572,,76542,123114,9.005004741209937,-1.5850342068846217,14.4841022407217,2.820288743252192,-5.479097499511762,-0.5769452490252872,6.056042748537049
17,231,231,2019-12-04,122000.0,500.0,1498918,499268,519745,-20477,840914,804342,36572,-16095,,158736,174831,10.590038948094561,-19.97593785511591,11.663813497469508,3.708843539496949,-1.073774549374949,-1.3661187603324532,2.4398933097074025
18,230,230,2019-12-05,118000.0,-4000.0,1560647,521525,476964,44561,562095,959534,-397439,352878,,477027,124149,30.565976803210464,17.697398796864732,7.9549699579725575,1.8399944888551527,22.61100684523791,2.855290145689576,-25.466296990927482
19,229,229,2019-12-06,118500.0,500.0,1504634,278507,284615,-6108,1032502,1128011,-95509,101617,,193625,92008,12.868578006345727,-0.548255583237836,6.114975469117407,-5.722233394960598,6.753602537228322,-0.4059458978063769,-6.347656639421946
20,228,228,2019-12-09,119500.0,1000.0,902113,261308,250701,10607,519770,544627,-24857,14250,,121035,106785,13.416833589583565,0.21907178189522905,11.837208864078006,5.475010805221553,1.5796247255055633,1.17579505006579,-2.7554197755713528
21,227,227,2019-12-10,120000.0,500.0,784383,147619,198174,-50555,533243,536305,-3062,53617,,103521,49904,13.197761807688336,-0.3287255045244404,6.362198058856452,0.9673908929461996,6.835563748831884,-6.44519322830811,-0.3903705205237747
22,226,226,2019-12-11,119000.0,-1000.0,1015977,271317,273476,-2159,607234,687691,-80457,82616,,137426,54810,13.526487312212774,10.855029057701099,5.394807165910252,3.8293898033060163,8.131680146302525,-0.2125048106403984,-7.9191753356621275
23,225,225,2019-12-12,120000.0,1000.0,5201616,853512,655913,197599,4209145,4464276,-255131,57532,,138959,81427,2.6714582545116747,-23.343877626611622,1.5654173626042367,-9.228858048198543,1.106040891907438,3.7988002190088617,-4.9048411109163
24,224,224,2019-12-13,121000.0,1000.0,1058172,264822,229697,35125,518063,714253,-196190,161065,,275287,114222,26.015335881123296,-8.642994874330153,10.79427541080278,5.908289948074984,15.221060470320516,3.319403650824252,-18.540464121144765
