,date,sentiment
0,2019-03-05,0.971
1,2018-06-30,0.986
2,2017-02-23,0.487
3,2017-02-22,0.976
4,2016-01-13,0.868
5,2016-01-12,0.983
6,2014-10-15,-0.384
