,date,sentiment
0,2020-11-06,0.993
1,2020-11-05,0.994
2,2020-10-22,0.994
3,2020-10-21,0.993
4,2020-07-24,0.992
5,2020-05-19,0.592
6,2020-04-24,0.993
7,2020-02-01,0.991
8,2019-10-25,0.993
9,2019-07-26,0.876
10,2019-07-11,0.944
11,2018-10-26,0.983
12,2018-06-06,0.973
13,2017-09-10,0.796
14,2017-04-26,0.982
15,2016-12-24,0.901
16,2016-04-27,0.967
17,2015-10-23,0.966
